Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
STEAP1,2.50E-78,-1.002653328,0.039,0.064,9.15E-74,0.056465003,0.113162619,-1.248220641,-0.946297012
NDC1,1.11E-20,-1.002660068,0.075,0.089,4.07E-16,0.10836414,0.217152983,-0.96511441,-0.663234201
PLEKHG3,5.66E-89,-1.003674285,0.057,0.087,2.07E-84,0.092100902,0.184696285,-1.035736116,-0.73354184
LHFPL3,1.51E-20,-1.003796794,0.037,0.048,5.53E-16,0.055970777,0.112261299,-1.252038667,-0.949769936
ADM,3.44E-154,-1.003946364,0.042,0.08,1.26E-149,0.121803938,0.244299918,-0.91433867,-0.612076679
SNORC,6.18E-164,-1.004285574,0.154,0.211,2.26E-159,0.274396912,0.550451228,-0.561620781,-0.259281155
URB1,2.58E-20,-1.004429626,0.059,0.072,9.44E-16,0.08283569,0.166205611,-1.081782507,-0.77935432
FBXO32,4.10E-103,-1.005477355,0.15,0.194,1.50E-98,0.316329633,0.635090597,-0.499860123,-0.197164317
NDE1,8.60E-10,-1.006244253,0.064,0.073,3.15E-05,0.095371639,0.191595464,-1.020580755,-0.717614778
LGALS9C,2.00E-144,-1.008109762,0.029,0.06,7.33E-140,0.058293797,0.117269685,-1.234377654,-0.930814241
MLXIP,0,-1.008660596,0.295,0.376,0,0.640918195,1.289579375,-0.193197399,0.110448079
GUCA2B,2.96E-267,-1.009328472,0.254,0.163,1.08E-262,3.919146311,7.889164173,0.593191477,0.897030994
MT-ATP8,0,-1.009912773,0.759,0.841,0,18.72071748,37.69960625,1.272322489,1.576336814
PLAC9,1.14E-09,-1.010073381,0.012,0.016,4.17E-05,0.01911636,0.038525538,-1.718594807,-1.414251291
OSBPL3,7.03E-31,-1.010644173,0.185,0.15,2.57E-26,0.359311477,0.723969492,-0.444528911,-0.140279735
GNG13,1.15E-27,-1.011053613,0.008,0.015,4.22E-23,0.031351526,0.063210271,-1.503741321,-1.199212348
ATRIP,5.74E-11,-1.011217201,0.027,0.034,2.10E-06,0.034978536,0.070528083,-1.456198369,-1.151637921
NTAN1,7.07E-54,-1.011290624,0.047,0.069,2.59E-49,0.065162289,0.131373472,-1.186003668,-0.881492321
SMIM3,3.33E-17,-1.011748641,0.04,0.05,1.22E-12,0.082587765,0.166551111,-1.083084288,-0.778452465
NOLC1,8.63E-46,-1.012137065,0.102,0.127,3.16E-41,0.151069186,0.304715903,-0.820824111,-0.51610488
E2F8,4.84E-08,-1.012274032,0.019,0.024,0.001770805,0.024925486,0.050301889,-1.603356373,-1.298415702
B4GALNT2,1.48E-163,-1.012356921,0.089,0.14,5.42E-159,0.143968191,0.290438191,-0.841733452,-0.536946277
LINC01091,1.12E-19,-1.014030048,0.056,0.068,4.10E-15,0.159450043,0.322041522,-0.79737536,-0.492088129
STAMBPL1,4.60E-62,-1.014512358,0.117,0.148,1.68E-57,0.19682289,0.397650578,-0.705924396,-0.400498382
PMEPA1,1.99E-74,-1.015948837,0.068,0.098,7.30E-70,0.11923283,0.241141592,-0.923604146,-0.617727877
AC013652.1,8.11E-69,-1.016033689,0.037,0.059,2.97E-64,0.084254813,0.170417934,-1.074405281,-0.768484705
EPB41L4A,2.24E-102,-1.016694603,0.123,0.166,8.20E-98,0.269162981,0.544616668,-0.56998467,-0.263909071
AL163541.1,4.20E-10,-1.0169741,0.009,0.013,1.54E-05,0.017094803,0.034619364,-1.767135892,-1.460680919
IQGAP1,9.16E-277,-1.018771867,0.439,0.477,3.35E-272,0.982774354,1.991316056,-0.007546185,0.299140196
PPP3CA,1.65E-247,-1.018816882,0.424,0.464,6.04E-243,1.124565116,2.278682657,0.050984608,0.357683847
AC002460.2,4.01E-174,-1.020155767,0.077,0.127,1.47E-169,0.157438599,0.319332404,-0.802888783,-0.495757009
SLC20A1,7.30E-39,-1.020368334,0.242,0.259,2.67E-34,0.693283935,1.406307844,-0.159088864,0.148080399
BAALC-AS1,3.56E-11,-1.021163008,0.011,0.016,1.30E-06,0.01720762,0.03494904,-1.764279184,-1.456564749
