Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(small.intestine),expr(large.intestine),logexprSI,logexprLI
SULT1C2,5.10E-237,0.415721382,0.412,0.265,1.87E-232,1.055994408,0.791576263,0.023661618,-0.101507237
SULT1E1,0,0.61957533,0.504,0.279,0,2.273053195,1.47939904,0.356609599,0.170085332
SULT2A1,0,1.459322316,0.305,0.082,0,1.046856746,0.38065273,0.019887256,-0.419471051
SUMO2,2.91E-57,-0.122138008,0.618,0.52,1.06E-52,3.351485128,3.647539291,0.525237297,0.561999979
SUN1,4.09E-12,-0.250117362,0.22,0.185,1.50E-07,0.336011891,0.399584117,-0.473645353,-0.398391783
SUOX,5.28E-104,0.361918234,0.116,0.057,1.93E-99,0.124350233,0.09671688,-0.905353397,-1.014497724
SUPT3H,1.49E-18,-0.160093125,0.377,0.314,5.47E-14,0.918894366,1.026697685,-0.036734411,0.011442583
SUPT5H,3.60E-38,-0.116368297,0.207,0.154,1.32E-33,0.309467179,0.335425188,-0.509385404,-0.474404328
SUPT7L,5.17E-62,0.101353758,0.148,0.095,1.89E-57,0.175982251,0.164002396,-0.754531132,-0.785149806
SUPV3L1,9.23E-34,-0.20042116,0.13,0.092,3.38E-29,0.153084162,0.175862005,-0.815069738,-0.754827979
SURF4,5.69E-121,0.162139785,0.386,0.277,2.08E-116,0.81536494,0.728648924,-0.088647967,-0.137481672
SURF6,7.08E-64,-0.134386445,0.262,0.186,2.59E-59,0.392887665,0.431205875,-0.405731606,-0.365315331
SUSD1,3.00E-28,-0.78256512,0.255,0.276,1.10E-23,0.445413324,0.766167689,-0.351236796,-0.115676167
SUSD2,6.28E-29,0.127362166,0.052,0.031,2.30E-24,0.075916793,0.069460962,-1.119662145,-1.158259204
SUSD4,1.69E-14,-0.316111153,0.008,0.014,6.19E-10,0.015813268,0.019651947,-1.800978377,-1.706594419
SUSD6,2.05E-27,-0.347919046,0.184,0.14,7.51E-23,0.328064747,0.417501129,-0.484040435,-0.379342345
SUV39H2,1.10E-15,-0.144404868,0.068,0.05,4.02E-11,0.075866198,0.083815317,-1.119951681,-1.07667661
SVBP,1.80E-17,-0.432458999,0.233,0.188,6.59E-13,0.331953563,0.447948719,-0.478922666,-0.348771701
SVIL,1.18E-11,-0.600077619,0.286,0.291,4.34E-07,0.616006598,0.933711518,-0.210414636,-0.029787284
SVOPL,5.39E-79,1.054110349,0.052,0.018,1.97E-74,0.050439653,0.024242314,-1.297227909,-1.615425924
SWI5,4.07E-75,-0.141885787,0.212,0.141,1.49E-70,0.268252748,0.295937999,-0.57145582,-0.528799267
SYBU,1.17E-80,0.403037582,0.072,0.032,4.28E-76,0.088807218,0.06711765,-1.051551734,-1.173163261
SYCE1L,1.67E-11,-0.532380859,0.119,0.097,6.13E-07,0.15174948,0.219446007,-0.818872788,-0.658672318
SYCP2,2.41E-21,0.626123008,0.012,0.003,8.80E-17,0.01587373,0.010238762,-1.799321023,-1.989752568
SYF2,2.05E-11,-0.388644244,0.376,0.321,7.50E-07,0.760687237,0.995829328,-0.11879387,-0.001815088
SYK,1.03E-152,0.511052747,0.233,0.135,3.76E-148,0.403631987,0.283187604,-0.394014425,-0.547925761
SYN3,1.79E-30,-1.677077176,0.017,0.031,6.54E-26,0.02739214,0.087595214,-1.562374032,-1.057519622
SYNCRIP,3.11E-12,-0.297215917,0.35,0.297,1.14E-07,0.703986064,0.865002169,-0.152435938,-0.062982803
SYNE1,9.68E-91,-0.839294618,0.087,0.137,3.54E-86,0.241493538,0.432049134,-0.617094486,-0.364466861
SYNE2,1.03E-06,-0.438485301,0.303,0.299,0.037612462,0.664482039,0.900460202,-0.177516754,-0.045535477
SYNGR2,2.36E-220,0.361614533,0.33,0.197,8.64E-216,0.614077544,0.477888639,-0.211776784,-0.320673294
SYNJ2BP,1.45E-236,0.390139304,0.317,0.18,5.29E-232,0.533255108,0.406859514,-0.273064976,-0.390555524
SYNPO,8.14E-18,-0.586406329,0.084,0.061,2.98E-13,0.101702771,0.15267652,-0.992667216,-0.816227746
SYNPO2,7.73E-19,-0.29547485,0.062,0.043,2.83E-14,0.268607766,0.329623895,-0.570881436,-0.481981313
SYNPR-AS1,4.48E-12,-0.124707047,0.017,0.01,1.64E-07,0.022270177,0.024242927,-1.652276336,-1.615414938
SYNRG,1.55E-87,0.104844616,0.25,0.168,5.67E-83,0.398157677,0.370207963,-0.399944906,-0.431554244
SYP,2.89E-17,0.35376696,0.042,0.028,1.06E-12,0.093165201,0.072861731,-1.030746274,-1.137500518
SYS1,4.19E-69,0.117813156,0.158,0.1,1.53E-64,0.17505618,0.161287851,-0.756822553,-0.792398344
SYT17,1.18E-54,0.343494428,0.139,0.091,4.32E-50,0.185610838,0.146241982,-0.731396668,-0.834927937
SYT2,1.35E-26,-1.012765651,0.029,0.046,4.94E-22,0.036009414,0.072638013,-1.443583941,-1.138836042
SYT7,5.60E-112,-0.792006008,0.015,0.044,2.05E-107,0.029873793,0.051699725,-1.524709629,-1.286511763
SYTL1,8.44E-16,-0.105629685,0.132,0.105,3.09E-11,0.16706986,0.179722935,-0.77710189,-0.745396497
SYTL2,6.02E-18,-0.419100994,0.159,0.181,2.20E-13,0.321286293,0.429556599,-0.493107802,-0.366979605
SYTL3,7.03E-87,-1.632356366,0.029,0.062,2.57E-82,0.056061731,0.173800973,-1.251333498,-0.759947796
SYTL4,2.04E-61,-1.291480077,0.013,0.032,7.48E-57,0.024361358,0.059618501,-1.613298506,-1.224618945
SYTL5,4.91E-67,-1.437703492,0.012,0.031,1.80E-62,0.015381716,0.041659224,-1.812995206,-1.380288821
SYVN1,2.07E-20,-0.132862544,0.088,0.065,7.58E-16,0.106262162,0.116475138,-0.973621352,-0.933766765
