Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(small.intestine),expr(large.intestine),logexprSI,logexprLI
EBP,2.36E-247,0.414526767,0.411,0.265,8.63E-243,0.947597698,0.710905725,-0.023376003,-0.148187988
EBPL,2.34E-197,0.417813954,0.341,0.214,8.56E-193,0.759707403,0.568640849,-0.119353641,-0.245161946
ECE1,1.02E-79,0.154172853,0.233,0.159,3.74E-75,0.419814686,0.377223934,-0.376942373,-0.42340076
ECH1,1.30E-211,0.345982958,0.529,0.397,4.76E-207,1.974694492,1.553590302,0.295499915,0.191336501
ECHDC2,2.76E-151,0.254818515,0.388,0.268,1.01E-146,0.81474103,0.682785817,-0.088980412,-0.165715509
ECHDC3,7.45E-269,1.211708321,0.129,0.034,2.73E-264,0.130408283,0.056254656,-0.884694823,-1.249841528
ECHS1,1.37E-208,0.350214885,0.453,0.324,5.02E-204,1.251843913,0.981986985,0.097550182,-0.007894268
ECM2,2.19E-105,0.51151022,0.058,0.017,8.02E-101,0.066329103,0.046483967,-1.178295876,-1.332696818
ECPAS,1.37E-09,-0.309034271,0.28,0.239,5.01E-05,0.497658888,0.616503499,-0.303068236,-0.210064454
ECSIT,1.61E-247,0.473295209,0.277,0.146,5.88E-243,0.4156035,0.29932172,-0.381320804,-0.523861767
ECT2L,5.16E-13,-1.101244087,0.006,0.012,1.89E-08,0.008969435,0.019224437,-2.047234903,-1.716146371
EDARADD,1.24E-23,0.567521763,0.021,0.009,4.52E-19,0.027486887,0.018501885,-1.560874451,-1.732784017
EDEM2,4.94E-82,0.21126099,0.12,0.066,1.81E-77,0.126454936,0.109187383,-0.898064215,-0.961827545
EDF1,1.00E-138,0.130850893,0.658,0.558,3.67E-134,4.128061812,3.770087264,0.615746192,0.576351403
EDIL3,1.58E-96,-0.719377849,0.038,0.077,5.77E-92,0.169244964,0.278629347,-0.771484245,-0.554973143
EDN1,5.11E-192,-1.758380213,0.274,0.347,1.87E-187,0.777160355,2.629278062,-0.109489362,0.419836518
EDN3,2.59E-23,-1.175938548,0.035,0.051,9.48E-19,0.052870358,0.119438731,-1.276787749,-0.922854821
EDNRA,0,1.157581341,0.145,0.018,0,0.248996271,0.11156618,-0.603807158,-0.952467436
EDRF1,1.77E-25,-0.104359903,0.106,0.076,6.48E-21,0.135492598,0.145618667,-0.86808443,-0.836782948
EEA1,1.19E-07,-0.315525055,0.295,0.256,0.00436817,0.545095147,0.678316441,-0.263527684,-0.168567656
EED,1.43E-20,-0.250285721,0.112,0.084,5.24E-16,0.146623214,0.174363785,-0.833797266,-0.758543712
EEF1A1,0,0.318823779,0.992,0.965,0,79.4919591,63.73050868,1.9003232,1.804347385
EEF1AKMT2,1.37E-43,-0.135517028,0.202,0.147,5.00E-39,0.278985864,0.306424391,-0.554417801,-0.513676668
EEF1AKMT3,2.12E-13,-0.183098068,0.034,0.022,7.77E-09,0.037555785,0.042600692,-1.425323157,-1.370583343
EEF1AKMT4,6.85E-116,0.535815852,0.098,0.042,2.51E-111,0.090151324,0.062138243,-1.045027889,-1.206641031
EEF1AKNMT,2.63E-69,0.107838298,0.107,0.06,9.63E-65,0.114125292,0.105864778,-0.942618097,-0.97524851
EEF1B2,0,0.663997929,0.864,0.714,0,15.762854,9.948315148,1.197634853,0.997749535
EEF1D,0,0.350286447,0.695,0.556,0,4.796740239,3.762655394,0.680946201,0.575494445
EEF1E1,1.19E-177,0.324013137,0.26,0.149,4.36E-173,0.400692942,0.320048114,-0.397188307,-0.494784728
EEF1G,0,0.569737724,0.87,0.741,0,19.39030681,13.06396538,1.287584681,1.116075021
EEF2,1.16E-211,0.231741861,0.782,0.664,4.25E-207,7.730159053,6.583008048,0.88818843,0.818424386
EEFSEC,2.51E-33,-0.109912745,0.178,0.133,9.19E-29,0.26530141,0.28626531,-0.576260442,-0.543231276
EFCAB11,3.55E-190,0.545867256,0.255,0.143,1.30E-185,0.450082274,0.308251748,-0.346708091,-0.511094451
EFCAB14,1.76E-20,-0.369303699,0.187,0.148,6.43E-16,0.260137344,0.335992773,-0.584797299,-0.473670064
EFCAB2,1.72E-89,0.178741089,0.254,0.172,6.29E-85,0.465156448,0.410911695,-0.332400955,-0.386251498
EFCAB3,8.86E-25,0.192004334,0.012,0.003,3.24E-20,0.008768966,0.007634363,-2.057051632,-2.117227173
EFHC2,4.94E-15,0.223591805,0.033,0.021,1.81E-10,0.035116491,0.030032598,-1.454488893,-1.522407104
EFHD1,4.33E-12,-0.224880419,0.021,0.013,1.59E-07,0.024534427,0.028636402,-1.610224079,-1.543081545
EFNA1,3.25E-10,-0.424667524,0.366,0.36,1.19E-05,1.11473471,1.496233996,0.047171524,0.174999518
EFNA5,0,-1.853209987,0.097,0.287,0,0.317440473,1.146930962,-0.498337702,0.059537277
EFNB1,3.96E-09,-0.262364204,0.123,0.104,0.00014496,0.165197734,0.198109276,-0.781995914,-0.70309519
EFNB2,1.19E-89,-1.009561481,0.185,0.242,4.34E-85,0.347576568,0.699754591,-0.458949509,-0.155054243
EFNB3,1.78E-39,-1.226758219,0.007,0.019,6.52E-35,0.012014277,0.028103303,-1.920302353,-1.55124264
EFR3B,4.56E-49,0.193328888,0.057,0.029,1.67E-44,0.068825653,0.060152004,-1.162249662,-1.220749902
EFTUD2,3.13E-90,0.211865479,0.176,0.107,1.14E-85,0.233475861,0.201545632,-0.631758015,-0.695626609
EGFL8,9.34E-24,-0.296572051,0.072,0.049,3.42E-19,0.09117839,0.111951952,-1.040108079,-0.950968328
EGFLAM,3.95E-09,-0.540991732,0.016,0.01,0.000144512,0.030047284,0.043686727,-1.522194771,-1.35965049
EGFR-AS1,1.47E-50,-0.11647522,0.082,0.047,5.40E-46,0.076803114,0.083222895,-1.11462117,-1.079757181
EGLN1,2.77E-88,0.170671118,0.227,0.149,1.01E-83,0.337139917,0.299483331,-0.472189824,-0.523627345
EGLN2,1.93E-46,-0.222606089,0.216,0.157,7.07E-42,0.295909945,0.345242868,-0.528840438,-0.461875285
EGLN3,7.10E-63,0.202394755,0.097,0.055,2.60E-58,0.154045028,0.133839564,-0.812352314,-0.873415488
EGR1,0,-1.296617325,0.325,0.488,0,1.543668506,3.792043242,0.188554044,0.578873281
EGR2,2.27E-64,-1.511581007,0.012,0.03,8.32E-60,0.023686439,0.06752974,-1.62550022,-1.170504921
EGR3,2.52E-21,-1.289465757,0.005,0.012,9.22E-17,0.014255955,0.034833842,-1.846003678,-1.457998624
EHD1,1.24E-27,-0.338763187,0.192,0.148,4.53E-23,0.265089403,0.33521639,-0.576607634,-0.474674755
EHD4,3.30E-265,-1.463501134,0.15,0.253,1.21E-260,0.243991542,0.672864784,-0.612625228,-0.172072201
EHF,0,-2.126954002,0.076,0.207,0,0.139055478,0.607408672,-0.856811897,-0.216519012
EHHADH,7.19E-95,0.402939777,0.124,0.065,2.63E-90,0.141136677,0.106699788,-0.850360114,-0.971836444
EHMT2,6.92E-47,-0.11834193,0.161,0.112,2.53E-42,0.213289522,0.231484891,-0.671030479,-0.63547735
EI24,2.31E-133,0.22109842,0.296,0.192,8.47E-129,0.477318674,0.409455208,-0.321191574,-0.3877936
EID1,1.97E-89,-0.184377271,0.429,0.322,7.21E-85,1.15930375,1.317310339,0.064197241,0.1196881
EIF1AD,2.97E-31,-0.160669566,0.06,0.036,1.09E-26,0.058744142,0.065627106,-1.231035437,-1.182916744
EIF1B,2.34E-18,-0.276967255,0.432,0.367,8.58E-14,1.133499609,1.373363603,0.054421375,0.137785533
EIF2AK3,6.33E-182,-1.314599685,0.188,0.273,2.32E-177,0.363814335,0.904915142,-0.439120192,-0.043392145
EIF2B2,1.66E-82,0.187176077,0.144,0.085,6.09E-78,0.152590667,0.133982097,-0.816472027,-0.872953229
EIF2B5,2.27E-110,0.258101602,0.165,0.092,8.29E-106,0.193696617,0.161924081,-0.712877965,-0.790688558
EIF2D,5.82E-92,0.186351366,0.157,0.092,2.13E-87,0.186877003,0.164190448,-0.72844414,-0.784652111
EIF2S1,1.04E-153,0.164163639,0.247,0.145,3.82E-149,0.366318367,0.32687769,-0.436141305,-0.48561472
EIF2S2,1.26E-34,-0.195656468,0.42,0.346,4.61E-30,1.014109916,1.161367543,0.006085029,0.064969685
EIF2S3,3.50E-149,0.200410936,0.45,0.329,1.28E-144,1.24505761,1.083534931,0.095189447,0.034842917
EIF3A,9.97E-25,-0.134696899,0.43,0.361,3.65E-20,1.060651062,1.164410838,0.025572531,0.066106239
EIF3D,9.82E-245,0.376257862,0.471,0.324,3.59E-240,1.360323483,1.047994817,0.133642195,0.020359135
EIF3E,0,0.541277528,0.716,0.558,0,6.348587283,4.362463521,0.802677095,0.639731808
EIF3F,2.53E-243,0.295253211,0.582,0.449,9.26E-239,2.7481137,2.239475344,0.439034697,0.350146285
EIF3H,2.90E-246,0.336095739,0.584,0.453,1.06E-241,2.751539426,2.179677244,0.43957574,0.33839219
EIF3I,1.03E-230,0.320470949,0.446,0.307,3.77E-226,1.228188956,0.983500799,0.089265188,-0.007225283
EIF3J,5.12E-16,-0.741376663,0.338,0.338,1.87E-11,0.691157756,1.155429773,-0.160422814,0.062743554
EIF3J-DT,2.10E-29,-0.219607157,0.174,0.132,7.68E-25,0.209307666,0.243684715,-0.679214864,-0.61317171
EIF3K,0,0.359380738,0.599,0.462,0,2.96347185,2.309979987,0.471800806,0.363608217
EIF3L,0,0.398167847,0.556,0.391,0,2.368871659,1.79750633,0.374541532,0.254670428
EIF3M,8.91E-289,0.368892235,0.495,0.344,3.26E-284,1.572755314,1.21786159,0.196661161,0.085597933
EIF4A2,1.93E-274,0.300568845,0.627,0.495,7.08E-270,3.471757143,2.818788337,0.540549338,0.450062466
EIF4B,2.89E-127,0.125194881,0.484,0.364,1.06E-122,1.431864097,1.312806686,0.155901799,0.11820078
EIF4E,8.04E-28,-0.194082125,0.372,0.302,2.94E-23,0.758041563,0.867159631,-0.120306982,-0.061900948
EIF4E2,2.77E-45,-0.173352517,0.323,0.249,1.01E-40,0.549064785,0.619129883,-0.26037641,-0.208218234
EIF4E3,3.19E-09,-1.018993624,0.019,0.027,0.000116902,0.024405237,0.049436591,-1.61251697,-1.305951481
EIF4EBP1,0,0.912453876,0.325,0.144,0,0.646949093,0.343663334,-0.189129892,-0.463866801
EIF4ENIF1,1.52E-19,-0.291011261,0.097,0.072,5.57E-15,0.113825744,0.13923003,-0.943759501,-0.856267083
EIF4G1,2.70E-127,0.220297379,0.284,0.183,9.88E-123,0.479316102,0.411397218,-0.319377981,-0.385738649
EIF5,9.99E-08,-0.475139992,0.476,0.451,0.003655837,1.395475917,1.939753187,0.144722346,0.287746474
EIF5A,8.38E-38,-0.120668654,0.446,0.378,3.07E-33,1.569514967,1.706399344,0.195765462,0.232080675
EIF5A2,1.71E-38,0.252545729,0.042,0.02,6.27E-34,0.040769825,0.034180207,-1.389661156,-1.466225314
EIF5B,2.67E-79,0.118306234,0.399,0.304,9.79E-75,0.943656154,0.869319748,-0.025186224,-0.060820455
EIF6,5.08E-126,0.18513066,0.477,0.368,1.86E-121,1.40233305,1.233407444,0.14685117,0.091106565
EIPR1,2.46E-201,0.632338833,0.213,0.106,9.01E-197,0.287813714,0.185631058,-0.540888516,-0.731349361
ELAC1,2.33E-49,0.126957049,0.082,0.048,8.52E-45,0.080728746,0.073887085,-1.092971792,-1.131431467
ELAC2,8.42E-77,0.169225354,0.14,0.084,3.08E-72,0.159929828,0.142187172,-0.796070529,-0.847139585
ELAVL1,3.55E-180,0.300200031,0.347,0.222,1.30E-175,0.695112394,0.564485378,-0.157944968,-0.248347303
ELAVL4,1.71E-15,-0.354224725,0.021,0.011,6.25E-11,0.050470053,0.064481304,-1.296966241,-1.190566188
ELF1,2.10E-88,-0.788302861,0.489,0.492,7.69E-84,1.506457019,2.601687746,0.177956745,0.415255171
ELF2,5.34E-21,-0.682910454,0.287,0.298,1.95E-16,0.581247846,0.93309236,-0.235638643,-0.030075366
ELF3,0,-1.275036869,0.594,0.638,0,3.504836294,8.481865645,0.544667737,0.928491389
ELF3-AS1,7.89E-15,-0.887776614,0.091,0.108,2.89E-10,0.102412058,0.189471341,-0.989648906,-0.722456471
ELF4,2.19E-18,-1.093686932,0.077,0.095,8.03E-14,0.086855017,0.18534613,-1.061205092,-0.732016478
ELK1,5.70E-16,-0.372118679,0.073,0.054,2.09E-11,0.073036357,0.094493265,-1.136460899,-1.024599143
ELL,1.02E-94,-1.148655452,0.131,0.187,3.73E-90,0.192804035,0.427443139,-0.714883881,-0.369121649
ELMO1,1.01E-233,-0.794442964,0.048,0.119,3.71E-229,0.226198214,0.39229379,-0.645510828,-0.406388567
ELMO1-AS1,2.65E-82,-1.867138687,0.002,0.014,9.71E-78,0.007548705,0.02754736,-2.122127551,-1.559920019
ELMOD2,2.42E-37,-0.173881943,0.135,0.094,8.86E-33,0.155983028,0.175925619,-0.806922654,-0.754670913
ELMSAN1,5.86E-22,-0.891018534,0.161,0.183,2.15E-17,0.236029019,0.437688355,-0.627034599,-0.358835008
ELN,3.95E-08,-0.427889915,0.051,0.041,0.001446315,0.156137628,0.210013159,-0.806492424,-0.677753492
ELOB,1.53E-07,-0.244902989,0.575,0.506,0.005605561,2.518167869,2.984025672,0.401084678,0.474802555
ELOC,2.65E-26,-0.242341578,0.352,0.285,9.69E-22,0.670521719,0.793131303,-0.17358715,-0.100654909
ELOF1,2.82E-154,0.128302165,0.221,0.123,1.03E-149,0.283897585,0.259698873,-0.546838302,-0.585529935
ELOVL1,4.34E-22,-0.307039202,0.211,0.167,1.59E-17,0.255593626,0.316176526,-0.59244998,-0.500070377
ELOVL2,4.16E-46,0.789931014,0.024,0.007,1.52E-41,0.038443392,0.022187224,-1.415178299,-1.653897024
ELOVL6,1.13E-41,-0.195449184,0.202,0.148,4.15E-37,0.290351619,0.332439079,-0.537075748,-0.47828793
ELOVL7,5.12E-50,-0.128327519,0.28,0.208,1.87E-45,0.552048502,0.603365391,-0.258022764,-0.219419604
ELP1,6.24E-12,-0.234696304,0.101,0.081,2.28E-07,0.127527219,0.150019697,-0.894397112,-0.823851715
ELP2,3.98E-127,0.156494183,0.293,0.19,1.46E-122,0.485105007,0.435196018,-0.314164242,-0.361315087
ELP3,4.40E-126,0.225512825,0.222,0.133,1.61E-121,0.32026195,0.273874887,-0.494494657,-0.562447788
EMB,6.22E-158,0.594574503,0.11,0.041,2.28E-153,0.149727523,0.09910971,-0.82469836,-1.003883795
EMC1,6.69E-52,0.20244141,0.112,0.07,2.45E-47,0.132875127,0.115436925,-0.876556308,-0.93765525
EMC10,2.74E-114,0.14813932,0.381,0.269,1.00E-109,0.763521822,0.688971065,-0.117178546,-0.161799017
EMC4,1.41E-218,0.355360785,0.323,0.188,5.16E-214,0.535200076,0.418308447,-0.271483833,-0.378503365
EMC6,4.91E-162,0.289796435,0.325,0.208,1.80E-157,0.530490708,0.433907724,-0.275322219,-0.362602619
EMC7,1.95E-179,0.347045612,0.252,0.141,7.15E-175,0.353153309,0.277602931,-0.452036721,-0.556575953
EMC9,1.58E-72,-0.105123834,0.147,0.09,5.77E-68,0.163817208,0.1761614,-0.785640479,-0.754089246
EMD,3.06E-61,-0.149678166,0.197,0.135,1.12E-56,0.273052554,0.302865608,-0.563753757,-0.518750041
EME1,4.99E-09,-0.117675649,0.018,0.012,0.000182781,0.017438513,0.018882493,-1.758490552,-1.723940662
EME2,8.92E-33,0.125502415,0.038,0.019,3.26E-28,0.044205006,0.040480924,-1.354528546,-1.392749585
EMG1,3.58E-150,0.311867588,0.258,0.155,1.31E-145,0.378234107,0.304661553,-0.422239312,-0.516182348
EMID1,0,1.075024589,0.256,0.096,0,0.424291824,0.201346365,-0.372335337,-0.696056207
EMILIN1,3.25E-07,-0.323888016,0.036,0.028,0.011903644,0.161665097,0.202321112,-0.791383733,-0.693958796
EML1,1.72E-10,-0.457378515,0.089,0.072,6.31E-06,0.12042723,0.165319215,-0.919275302,-0.781676665
EML5,2.99E-13,-0.182020647,0.036,0.024,1.09E-08,0.062711612,0.071107421,-1.202652036,-1.148085075
EML6,4.38E-37,0.308561813,0.045,0.023,1.60E-32,0.078752175,0.063545012,-1.103737443,-1.196918532
EMP1,3.63E-218,-1.246891832,0.075,0.154,1.33E-213,0.378817431,0.899031393,-0.421570045,-0.046225143
ENAH,1.08E-139,0.136020967,0.284,0.177,3.95E-135,0.577055605,0.525094118,-0.238782337,-0.279762846
ENC1,1.94E-141,0.1356373,0.283,0.177,7.12E-137,0.524075679,0.477007883,-0.280605994,-0.321474444
ENDOD1,9.87E-15,-0.908924769,0.086,0.103,3.61E-10,0.095933105,0.180104896,-1.0180315,-0.744474482
ENDOV,4.58E-62,-0.13186209,0.176,0.117,1.68E-57,0.211421191,0.231617841,-0.674851485,-0.635227991
ENKUR,2.76E-98,0.297736336,0.083,0.035,1.01E-93,0.093360914,0.075908679,-1.029834903,-1.119708569
ENO1,0,0.751515259,0.673,0.474,0,4.786434962,2.842996585,0.680012162,0.453776338
ENO2,8.17E-08,0.265175061,0.015,0.009,0.002992007,0.02181481,0.018109369,-1.661248559,-1.742096675
ENO3,1.32E-10,-0.223627051,0.035,0.025,4.83E-06,0.040332199,0.047057998,-1.394348096,-1.327366553
ENOPH1,2.06E-157,0.206200618,0.245,0.142,7.54E-153,0.347613597,0.301275333,-0.458903245,-0.521036424
ENOX2,7.11E-44,-0.188187211,0.185,0.133,2.60E-39,0.279704786,0.318639353,-0.553300103,-0.496700589
ENPP3,1.35E-17,-0.305134648,0.075,0.054,4.94E-13,0.121391297,0.149947796,-0.915812447,-0.824059914
ENPP5,1.97E-31,-0.117747807,0.066,0.041,7.23E-27,0.061194312,0.066360219,-1.213288941,-1.178092187
ENPP7,0,1.606376433,0.233,0.066,0,0.765463393,0.251343234,-0.116075574,-0.599732802
ENSA,3.77E-24,-0.185067958,0.449,0.371,1.38E-19,1.152173139,1.309834595,0.061517746,0.117216457
ENTPD1,9.10E-18,-0.193212468,0.025,0.013,3.33E-13,0.075179223,0.085915942,-1.123902167,-1.065926244
ENTPD1-AS1,5.71E-32,-0.207206492,0.214,0.164,2.09E-27,0.386904889,0.446625834,-0.412395783,-0.350056159
ENTPD3-AS1,1.31E-28,-0.252987249,0.074,0.048,4.81E-24,0.078964286,0.094063454,-1.102569285,-1.026579079
ENTPD4,4.01E-11,-0.196811802,0.097,0.078,1.47E-06,0.127905162,0.146563206,-0.893111926,-0.833975043
ENTPD5,2.40E-25,-0.287303015,0.233,0.184,8.80E-21,0.322148144,0.393100127,-0.491944366,-0.405496816
ENTPD7,1.62E-114,0.257738228,0.172,0.096,5.92E-110,0.260276857,0.217652474,-0.584564447,-0.662236392
ENTR1,3.06E-13,-0.146822829,0.07,0.053,1.12E-08,0.074052744,0.08194828,-1.130458844,-1.086460158
ENY2,4.99E-188,0.251662451,0.452,0.319,1.83E-183,1.224131774,1.028139997,0.087828171,0.012052255
EP400,4.34E-10,-0.255430605,0.158,0.133,1.59E-05,0.226655788,0.270521153,-0.644633186,-0.56779877
EPAS1,1.37E-286,-1.619526523,0.082,0.175,5.01E-282,0.179204433,0.550647428,-0.746651252,-0.259126385
EPB41,1.51E-13,-0.226307898,0.33,0.28,5.53E-09,0.688608512,0.805523445,-0.162027613,-0.093921815
EPB41L1,2.82E-34,-0.955156414,0.187,0.216,1.03E-29,0.288085401,0.558514693,-0.540478749,-0.252965397
EPB41L2,3.58E-74,-0.826298481,0.184,0.237,1.31E-69,0.523340922,0.927926202,-0.281215305,-0.032486562
EPB41L3,6.58E-45,-0.285104864,0.238,0.175,2.41E-40,0.481563659,0.586749169,-0.317346294,-0.231547517
EPB41L4A,8.00E-29,-0.821250225,0.058,0.081,2.93E-24,0.127463637,0.225194649,-0.894613693,-0.647441933
EPB41L4A-AS1,0,0.63172743,0.428,0.267,0,1.167559154,0.753500264,0.067278893,-0.122916591
EPB41L4B,6.29E-11,-0.455989948,0.134,0.11,2.30E-06,0.151041367,0.207154257,-0.820904093,-0.683706138
EPB41L5,9.35E-39,-0.837995905,0.351,0.362,3.42E-34,0.773843611,1.383270818,-0.111346799,0.140907215
EPC1,2.81E-10,-0.221774455,0.385,0.329,1.03E-05,0.888387223,1.035971353,-0.051397696,0.015347746
EPC2,1.80E-07,-0.705039068,0.197,0.203,0.006581853,0.310790063,0.506618461,-0.507532876,-0.295318989
EPCAM,9.18E-143,-0.429463285,0.767,0.78,3.36E-138,8.513060873,11.46478226,0.930085739,1.059365811
EPG5,4.19E-29,-0.155627883,0.181,0.138,1.53E-24,0.258916782,0.288371528,-0.586839799,-0.540047621
EPHA1,1.56E-85,0.461729703,0.1,0.051,5.72E-81,0.098252401,0.071297926,-1.007656828,-1.146923104
EPHA2,1.22E-83,-0.985011628,0.113,0.165,4.46E-79,0.186444673,0.369013792,-0.72945002,-0.432957402
EPHA4,0,-1.511568399,0.046,0.13,0,0.110597206,0.315328984,-0.956255843,-0.501236109
EPHA6,2.64E-17,-0.136031554,0.233,0.195,9.67E-13,0.709897251,0.780052867,-0.148804505,-0.107875963
EPHB1,2.74E-22,1.040464083,0.022,0.01,1.00E-17,0.037136308,0.018005557,-1.430201278,-1.744593451
EPHB2,9.56E-07,-0.332434886,0.182,0.193,0.034998164,0.367153935,0.462262144,-0.435151813,-0.33511167
EPHB3,1.30E-58,-1.168015014,0.025,0.05,4.77E-54,0.040976916,0.092059393,-1.38746073,-1.035931894
EPHB4,6.80E-13,-0.690727459,0.075,0.09,2.49E-08,0.092443765,0.149184904,-1.034122377,-0.82627512
EPHX1,2.10E-233,0.842440832,0.162,0.062,7.68E-229,0.21702493,0.120986908,-0.663490375,-0.917261623
EPHX2,0,0.631315626,0.514,0.335,0,1.668839314,1.077335557,0.222414522,0.032350994
EPHX3,1.07E-19,-0.964932532,0.011,0.02,3.93E-15,0.0119902,0.023382428,-1.921173579,-1.631110392
EPHX4,2.05E-31,0.424459772,0.045,0.025,7.51E-27,0.039461097,0.029358878,-1.403830842,-1.532260542
EPM2AIP1,5.28E-12,-0.287829005,0.169,0.14,1.93E-07,0.211000428,0.257554161,-0.675716664,-0.58913143
EPN1,7.70E-30,-0.193683826,0.325,0.26,2.82E-25,0.561464153,0.642098532,-0.250677966,-0.192398323
EPN3,6.68E-14,-0.814105528,0.006,0.011,2.44E-09,0.006791026,0.011914364,-2.168064635,-1.923929122
EPPK1,3.65E-13,-1.201377872,0.061,0.075,1.34E-08,0.078029045,0.179419241,-1.107743707,-0.746130986
EPS15,1.52E-17,-0.221370423,0.267,0.22,5.56E-13,0.494142974,0.576055337,-0.306147376,-0.239535795
EPS15L1,2.26E-111,0.274022017,0.199,0.119,8.27E-107,0.290743626,0.240405324,-0.536489798,-0.619055919
EPS8,4.60E-128,-0.913221175,0.389,0.435,1.68E-123,1.231470768,2.31913856,0.090424107,0.365326697
EPS8L3,4.19E-14,-0.210295584,0.3,0.252,1.53E-09,0.523541116,0.60566119,-0.281049206,-0.217770255
EPSTI1,0,0.671990955,0.251,0.096,0,0.523408981,0.328465934,-0.28115883,-0.483509665
ERAL1,1.71E-184,0.472139495,0.209,0.107,6.27E-180,0.253806711,0.182923191,-0.595496899,-0.737731231
ERAP1,2.97E-186,0.451560489,0.246,0.134,1.09E-181,0.369879541,0.270430417,-0.43193969,-0.567944463
ERAP2,1.33E-181,0.795835443,0.084,0.02,4.88E-177,0.106036614,0.061030708,-0.97454415,-1.214451593
ERBB2,2.64E-11,-0.25510929,0.302,0.255,9.68E-07,0.53533065,0.638841548,-0.271377891,-0.194606846
ERBB3,1.82E-09,-0.196065429,0.467,0.399,6.66E-05,1.277682534,1.463637664,0.106422958,0.165433577
ERBIN,6.92E-20,-0.144886642,0.466,0.394,2.53E-15,1.506561238,1.665682395,0.177986789,0.221592196
ERC2,5.92E-13,-0.72446845,0.019,0.028,2.17E-08,0.04021451,0.066418487,-1.395617222,-1.17771102
ERCC1,1.56E-32,-0.357091497,0.269,0.209,5.71E-28,0.424150633,0.543235119,-0.372479881,-0.265012162
ERCC2,1.53E-40,0.139824716,0.083,0.051,5.59E-36,0.090116585,0.081751166,-1.045195275,-1.087506043
ERCC6,3.58E-13,-0.432486001,0.074,0.057,1.31E-08,0.085449665,0.115286022,-1.068289637,-0.938223344
ERCC6L2,7.14E-26,-0.234543395,0.222,0.175,2.61E-21,0.36622463,0.430839487,-0.436252451,-0.3656845
ERCC8,3.16E-60,0.117360215,0.159,0.104,1.16E-55,0.203751893,0.187792316,-0.690898347,-0.726322183
ERG,6.72E-27,-1.364295162,0.01,0.021,2.46E-22,0.049611198,0.127713615,-1.304420285,-0.893762803
ERGIC1,6.06E-19,-0.157368837,0.262,0.215,2.22E-14,0.44611961,0.497497994,-0.350548686,-0.303208666
ERGIC3,2.25E-164,0.188860872,0.461,0.332,8.22E-160,1.280578917,1.123407658,0.107406348,0.05053738
ERICH1,1.15E-07,-0.357640656,0.266,0.23,0.004219782,0.451660821,0.578691556,-0.34518758,-0.237552854
ERICH2,1.43E-11,0.876423821,0.016,0.009,5.24E-07,0.014932836,0.008086189,-1.825857694,-2.092256099
ERICH4,3.08E-224,0.409941519,0.215,0.101,1.13E-219,0.36690632,0.276109321,-0.435444808,-0.558918932
ERLEC1,2.53E-17,-0.336805972,0.249,0.203,9.26E-13,0.353851459,0.446864547,-0.45117901,-0.349824099
ERLIN1,4.02E-132,0.311953041,0.23,0.137,1.47E-127,0.304185086,0.244993278,-0.516862083,-0.610845831
ERMAP,2.53E-12,-0.278669147,0.087,0.068,9.28E-08,0.087689621,0.106338431,-1.057051806,-0.973309751
ERMP1,6.85E-11,-0.282245979,0.085,0.068,2.51E-06,0.094241125,0.11456974,-1.025759537,-0.940930071
ERN2,1.64E-74,-0.921615524,0.018,0.042,5.99E-70,0.038149642,0.072241228,-1.41850953,-1.141214882
ERO1A,3.42E-69,0.102220269,0.275,0.199,1.25E-64,0.473277676,0.440863765,-0.324883981,-0.355695594
ERP29,2.26E-152,0.199025803,0.526,0.4,8.29E-148,1.725678599,1.50326329,0.236959913,0.177035052
ERP44,1.32E-119,0.183716698,0.391,0.28,4.84E-115,0.847679415,0.746282189,-0.071768363,-0.127096923
ERRFI1,0,-1.534870174,0.185,0.327,0,0.446103564,1.292635457,-0.350564307,0.111476065
ERV3-1,4.64E-64,0.144318804,0.118,0.071,1.70E-59,0.144543668,0.1307427,-0.84000093,-0.88358255
ERVK13-1,4.35E-09,-1.276381068,0.05,0.06,0.000159075,0.056868085,0.13773843,-1.245131398,-0.860944871
ERVK3-1,5.07E-110,0.26553752,0.207,0.126,1.86E-105,0.271207106,0.225571446,-0.566698936,-0.646715877
ERVK9-11,9.55E-12,0.140559879,0.01,0.004,3.49E-07,0.006745075,0.006077604,-2.171013218,-2.216267636
ERVMER34-1,2.36E-13,-0.126527961,0.012,0.006,8.66E-09,0.009883477,0.010751513,-2.005090229,-1.968530404
ESCO2,1.16E-51,0.247746947,0.064,0.033,4.23E-47,0.073503902,0.06186327,-1.133689608,-1.208567125
ESD,1.12E-271,0.328056728,0.491,0.346,4.11E-267,1.625828327,1.29510577,0.211074686,0.112305238
ESF1,2.72E-207,0.437377587,0.349,0.215,9.96E-203,0.692676879,0.511480658,-0.159469309,-0.291170785
ESPL1,1.09E-25,-0.154875612,0.047,0.028,3.98E-21,0.047674008,0.053039176,-1.321718337,-1.27540323
ESPN,5.08E-11,-0.32219056,0.33,0.286,1.86E-06,0.716154174,0.89532059,-0.144993472,-0.048021428
ESRRA,8.08E-31,-0.287272771,0.204,0.154,2.96E-26,0.270279514,0.329794976,-0.568186871,-0.481755964
ESRRG,0,0.837811013,0.335,0.13,0,0.84823769,0.474534369,-0.071482435,-0.323732328
