Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
XYLT1,2.74E-60,-1.075506803,0.251,0.296,1.00E-55,1.060971929,0.503386197,0.025703894,-0.298098697
SLC2A2,2.57E-40,-1.07612162,0.181,0.208,9.42E-36,0.892371212,0.423204011,-0.049454449,-0.373450225
C6orf52,1.33E-12,-1.076432968,0.009,0.016,4.88E-08,0.024555367,0.011594557,-1.609853574,-1.93574585
ZNF608,8.34E-140,-1.078222752,0.136,0.211,3.05E-135,0.515923874,0.24429809,-0.287414375,-0.612079928
ITGAL,3.75E-14,-1.080297449,0.018,0.012,1.37E-09,0.0624729,0.029495787,-1.204308335,-1.530240018
AP003119.2,1.08E-09,-1.084394593,0.007,0.012,3.95E-05,0.019048006,0.008933238,-1.720150482,-2.048991113
LRP11,1.84E-51,-1.086375526,0.052,0.083,6.74E-47,0.140921343,0.066316306,-0.851023227,-1.17837967
PRDM15,2.14E-08,-1.088145301,0.026,0.034,0.000781968,0.083505489,0.039228493,-1.078284977,-1.406398378
MT-ND5,0,-1.090635502,0.954,0.956,0,38.98816975,18.30702061,1.590932848,1.26261767
PRKD3,2.23E-70,-1.095997421,0.097,0.144,8.17E-66,0.381500718,0.178421194,-0.41850464,-0.748553558
PLEKHS1,6.75E-102,-1.096435368,0.096,0.152,2.47E-97,0.305972039,0.143044482,-0.514318259,-0.84452889
UNC5B,3.55E-09,-1.096780477,0.036,0.045,0.000129986,0.105301573,0.049185026,-0.977565142,-1.308167096
PKMYT1,1.18E-13,-1.096844845,0.006,0.013,4.33E-09,0.019960949,0.009282855,-1.699818817,-2.03231844
AHR,5.34E-83,-1.09804701,0.107,0.16,1.95E-78,0.389353037,0.18183602,-0.409656433,-0.740320082
TBC1D1,2.50E-59,-1.09890346,0.127,0.172,9.15E-55,0.476071904,0.222214617,-0.322327448,-0.653227377
RAB8B,4.80E-37,-1.099387614,0.111,0.142,1.76E-32,0.426740778,0.199116484,-0.369835856,-0.700892785
CAMK1,2.89E-25,-1.099397714,0.014,0.027,1.06E-20,0.041361353,0.019254159,-1.383405266,-1.715475439
C5orf67,2.02E-10,-1.099422711,0.009,0.014,7.39E-06,0.024987719,0.011612197,-1.602273393,-1.935085597
FAM111B,5.23E-33,-1.100541514,0.017,0.034,1.91E-28,0.072157222,0.033600247,-1.141720196,-1.473657525
SLCO4C1,1.84E-09,-1.102667011,0.006,0.01,6.73E-05,0.014861677,0.006870753,-1.827932193,-2.162995669
C5orf52,1.05E-23,-1.104071531,0.009,0.019,3.84E-19,0.027009706,0.0125153,-1.568480143,-1.902558731
PROSER2,3.74E-12,-1.106558288,0.011,0.018,1.37E-07,0.03160258,0.014626588,-1.50027746,-1.834856972
B3GALT1,2.59E-15,-1.106611048,0.004,0.01,9.50E-11,0.016282507,0.00751166,-1.788278732,-2.124264063
MTUS2,7.05E-07,-1.10729124,0.006,0.01,0.025793322,0.023955979,0.011069849,-1.620586084,-1.955858291
AC093607.1,1.66E-46,-1.10774744,0.031,0.056,6.09E-42,0.107448855,0.049808527,-0.968798208,-1.302696302
FIGNL1,5.42E-27,-1.109021974,0.015,0.029,1.99E-22,0.05108667,0.023634525,-1.291692405,-1.626453125
TMEM171,3.88E-85,-1.10913292,0.111,0.164,1.42E-80,0.374517574,0.173566396,-0.426527798,-0.760534355
CHPT1,0,-1.111109506,0.496,0.564,0,3.064210393,1.418489356,0.486318581,0.151826081
DNAH10,3.02E-11,-1.111261465,0.007,0.013,1.10E-06,0.018648734,0.008582616,-1.729350643,-2.06638034
MSH4,3.39E-10,-1.112450355,0.006,0.011,1.24E-05,0.026275764,0.012103063,-1.58044464,-1.917104705
MME,1.92E-48,-1.112636469,0.366,0.374,7.01E-44,3.746382852,1.732458144,0.573612157,0.238662751
CAPN3,3.28E-35,-1.115953177,0.034,0.056,1.20E-30,0.112623758,0.051913358,-0.948369985,-1.284720877
AC023790.2,7.36E-07,-1.116096194,0.008,0.012,0.026922621,0.02104064,0.009657207,-1.676941055,-2.01514847
CGAS,2.57E-07,-1.118453,0.02,0.027,0.009394747,0.073935467,0.03400405,-1.13114718,-1.468469354
KAT2B,2.88E-34,-1.119036332,0.104,0.134,1.05E-29,0.389251779,0.179162307,-0.409769394,-0.746753353
GMNN,1.74E-85,-1.119187152,0.12,0.174,6.38E-81,0.472396394,0.217419457,-0.325693427,-0.662701594
AHDC1,2.98E-14,-1.119209376,0.029,0.04,1.09E-09,0.088582446,0.040728878,-1.052652332,-1.390097556
ZNF710-AS1,3.57E-12,-1.119610832,0.006,0.012,1.31E-07,0.017961707,0.008216599,-1.745652402,-2.085307908
RESF1,3.95E-131,-1.12078868,0.235,0.308,1.45E-126,1.039871367,0.478127215,0.01697962,-0.320456536
