Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
TBC1D16,4.13E-120,0.807907804,0.137,0.086,1.51E-115,0.154030911,0.269617589,-0.812392116,-0.569251779
PRDM5,3.12E-94,0.807896243,0.096,0.058,1.14E-89,0.110570199,0.193530638,-0.956361911,-0.713250271
GALNT3,0,0.805839405,0.416,0.281,0,0.655369668,1.145652919,-0.183513663,0.059053066
MFSD6L,4.24E-20,0.80570343,0.019,0.011,1.55E-15,0.015274162,0.026659356,-1.816042618,-1.574150349
AC009133.1,0,0.805389224,0.245,0.141,0,0.28700312,0.501531745,-0.542113381,-0.299701572
AC007405.3,3.24E-16,0.804721362,0.012,0.007,1.18E-11,0.008674944,0.01511361,-2.061733308,-1.82063179
CHPF,0,0.803856854,0.159,0.075,0,0.155527558,0.271474231,-0.808192646,-0.566271388
CDCA7L,1.12E-121,0.80321397,0.103,0.059,4.11E-117,0.097092487,0.169384986,-1.012814375,-0.771125088
LINC02520,1.04E-27,0.802131074,0.012,0.005,3.80E-23,0.009006698,0.015664873,-2.045434411,-1.805073111
PCAT1,3.56E-126,0.801869155,0.155,0.099,1.30E-121,0.245722129,0.428341845,-0.609555731,-0.368209497
SLC43A2,2.70E-263,0.801316541,0.145,0.072,9.88E-259,0.147420179,0.256867889,-0.831443066,-0.590290184
GCHFR,1.71E-218,0.801052856,0.334,0.245,6.27E-214,0.559328121,0.974517889,-0.252333346,-0.011210184
GSTA2,4.78E-176,0.800118134,0.149,0.085,1.75E-171,0.27454075,0.478002453,-0.561393184,-0.320569874
AC011447.3,1.57E-16,0.799476737,0.03,0.021,5.75E-12,0.035615833,0.061948376,-1.448356891,-1.207970072
AC087241.2,5.64E-12,0.799282293,0.012,0.008,2.06E-07,0.011044732,0.019180526,-1.956844809,-1.717139488
SV2C,7.07E-77,0.798933155,0.028,0.011,2.59E-72,0.027755881,0.048250165,-1.556644977,-1.3165012
AC009779.2,2.59E-33,0.797720424,0.019,0.01,9.49E-29,0.0166407,0.028887478,-1.778828406,-1.539290374
AL499604.1,2.06E-50,0.797170343,0.023,0.01,7.54E-46,0.021036848,0.036515586,-1.677019327,-1.437521728
AGR3,0,0.79716717,0.743,0.531,0,2.245571664,3.902057865,0.351326919,0.591293705
AC011444.1,9.12E-08,0.797150033,0.012,0.008,0.003338557,0.011687242,0.020268587,-1.932287968,-1.693176535
USP30-AS1,3.26E-59,0.797127279,0.039,0.02,1.19E-54,0.033503414,0.058176869,-1.474910932,-1.235249655
ARL14,0,0.795858821,0.215,0.117,0,0.287265147,0.498684116,-0.541717063,-0.302174464
SPATA2L,1.47E-92,0.795807799,0.079,0.045,5.37E-88,0.072012969,0.124978116,-1.142589285,-0.903166026
AL139317.5,1.58E-22,0.795763761,0.015,0.008,5.80E-18,0.014921632,0.025863957,-1.826183688,-1.587305029
SEC61G,0,0.795600875,0.66,0.452,0,1.556265802,2.701326513,0.192083774,0.431577081
TRIM39,1.57E-88,0.795344542,0.06,0.031,5.73E-84,0.054992299,0.095398741,-1.259698125,-1.020457355
AC027601.1,2.41E-17,0.794728257,0.02,0.012,8.81E-13,0.016473724,0.028537855,-1.783208217,-1.544578679
EGFL8,4.09E-16,0.794482201,0.033,0.024,1.50E-11,0.037029846,0.064186642,-1.431448096,-1.192555344
PET100,0,0.794106244,0.511,0.327,0,0.777368609,1.347919407,-0.109373,0.129663926
LINC00571,6.40E-217,0.793798565,0.146,0.079,2.34E-212,0.183425962,0.317953355,-0.736539194,-0.497636589
TMEM82,1.86E-140,0.793461138,0.152,0.095,6.80E-136,0.152669814,0.264571581,-0.816246823,-0.577456808
PCAT6,2.56E-18,0.79305519,0.019,0.011,9.37E-14,0.017317822,0.02996732,-1.761506728,-1.523352096
AL357873.1,1.74E-53,0.792537055,0.077,0.05,6.36E-49,0.074879592,0.129660307,-1.125636532,-0.887192956
C19orf48,8.52E-171,0.792413471,0.184,0.116,3.12E-166,0.209001345,0.361943973,-0.679850918,-0.44135865
FMN1,0,0.790644456,0.39,0.244,0,0.720317374,1.245998876,-0.14247611,0.095517651
CTSD,0,0.790130959,0.62,0.485,0,1.952054814,3.375514536,0.290492008,0.528339982
FTCDNL1,2.27E-65,0.789999431,0.057,0.032,8.30E-61,0.056976086,0.098475866,-1.244307386,-1.006670192
CD151,0,0.7896925,0.527,0.324,0,0.859554605,1.485877177,-0.065726529,0.171982912
SMN1,1.66E-16,0.789623953,0.026,0.017,6.07E-12,0.02430136,0.041967916,-1.614369416,-1.377082597
RAB2A,0,0.789241598,0.688,0.482,0,1.559088907,2.694324059,0.192870882,0.430449829
LINC02747,2.97E-39,0.789239636,0.053,0.034,1.09E-34,0.049630028,0.0857288,-1.304255483,-1.066873258
CALU,0,0.788225253,0.272,0.149,0,0.341346688,0.589448222,-0.466804307,-0.229554338
ASPG,9.10E-25,0.788121725,0.03,0.019,3.33E-20,0.02934936,0.050641194,-1.532401367,-1.29549606
PTMS,0,0.787632877,0.339,0.185,0,0.442288211,0.763455493,-0.354294637,-0.117216276
AC090617.4,1.26E-15,0.787268634,0.011,0.006,4.60E-11,0.010201626,0.017565992,-1.991330581,-1.755327325
GADD45G,2.46E-200,0.785808372,0.12,0.061,9.01E-196,0.130373425,0.224731326,-0.884810926,-0.648336386
LINC01637,2.38E-104,0.784799402,0.101,0.06,8.70E-100,0.094414249,0.16262181,-1.024962456,-0.788821208
LINC02256,8.81E-115,0.784711038,0.1,0.058,3.22E-110,0.096847704,0.166804074,-1.013910671,-0.777793345
SLC18A1,1.06E-108,0.784367348,0.029,0.01,3.88E-104,0.026719674,0.045980237,-1.573168844,-1.337428792
CXCL2,8.82E-66,0.784330603,0.061,0.035,3.23E-61,0.085822662,0.147771727,-1.06639802,-0.830408651
AP000943.2,2.18E-12,0.783782954,0.023,0.016,7.98E-08,0.023880898,0.041074246,-1.621949342,-1.3864304
IFT122,6.22E-116,0.783506417,0.107,0.063,2.27E-111,0.112677626,0.193913002,-0.948162313,-0.712393069
ZNF730,8.23E-15,0.783474165,0.012,0.007,3.01E-10,0.012030027,0.020666884,-1.919733409,-1.684724999
NR4A2,3.04E-223,0.783466569,0.164,0.09,1.11E-218,0.189633711,0.326369218,-0.722084455,-0.486290809
NANS,0,0.782311897,0.495,0.319,0,0.919775289,1.581867437,-0.036318262,0.199170086
VWA2,4.64E-26,0.782105811,0.038,0.025,1.70E-21,0.035127381,0.060366355,-1.454354224,-1.219205047
AC021086.1,5.30E-14,0.781709548,0.012,0.007,1.94E-09,0.011213519,0.019237843,-1.950258084,-1.715843632
ACTN1,0,0.781524767,0.241,0.139,0,0.308357606,0.530010205,-0.510945334,-0.275715768
MAML3,0,0.781165692,0.64,0.437,0,1.795364998,3.085328553,0.254152754,0.489301418
AP003774.2,6.80E-61,0.780718927,0.057,0.033,2.49E-56,0.056445998,0.096933402,-1.248366843,-1.013526544
MET,6.29E-207,0.780501195,0.209,0.13,2.30E-202,0.275252799,0.472769227,-0.560268256,-0.325350799
ESRP2,6.30E-75,0.779696983,0.082,0.05,2.31E-70,0.083388648,0.143119065,-1.078893068,-0.84430251
BBOX1-AS1,2.53E-14,0.779511093,0.012,0.007,9.25E-10,0.010351347,0.017728509,-1.985003118,-1.751327795
ABHD17B,0,0.779018394,0.307,0.174,0,0.39604973,0.679566567,-0.402250278,-0.167767995
LINC02777,3.65E-35,0.77893572,0.023,0.012,1.34E-30,0.021734728,0.037253758,-1.662845791,-1.428829907
VWA3B,1.19E-23,0.778437383,0.016,0.009,4.35E-19,0.017899223,0.030661939,-1.747165831,-1.513400386
AC004448.2,2.49E-27,0.778147204,0.052,0.036,9.10E-23,0.039260894,0.06728947,-1.406039813,-1.172052892
GOLPH3L,0,0.775985887,0.33,0.21,0,0.450084598,0.770666661,-0.346705849,-0.113133428
AP002381.2,9.62E-50,0.775755498,0.038,0.021,3.52E-45,0.035279673,0.060361727,-1.452475448,-1.219238343
LINC02754,8.96E-151,0.773397702,0.141,0.083,3.28E-146,0.138350245,0.236440633,-0.859020066,-0.626277887
MRPL23,4.49E-281,0.773364364,0.256,0.156,1.64E-276,0.262406507,0.448478471,-0.5810254,-0.348258401
AL513327.1,1.18E-13,0.772906894,0.015,0.009,4.32E-09,0.014959743,0.025521703,-1.825075878,-1.593090349
GRTP1-AS1,1.87E-13,0.772159643,0.018,0.011,6.84E-09,0.01682543,0.028694726,-1.774033834,-1.542197921
PARD3,0,0.772088325,0.699,0.528,0,2.237742562,3.821442277,0.349810122,0.582227304
NT5DC3,3.14E-144,0.771538433,0.088,0.045,1.15E-139,0.090596339,0.154615871,-1.042889351,-0.810745928
CYP4F2,8.92E-241,0.771417716,0.169,0.091,3.26E-236,0.188701425,0.322063049,-0.72422482,-0.4920591
FBXO25,5.91E-274,0.771213339,0.216,0.125,2.16E-269,0.220398868,0.37611559,-0.65679064,-0.424678664
SLC52A1,1.24E-96,0.771105983,0.107,0.065,4.54E-92,0.118355699,0.201943016,-0.926810827,-0.694771162
PDZK1,7.39E-266,0.770668951,0.229,0.134,2.71E-261,0.325129197,0.554649967,-0.487944029,-0.255981008
DNAL1,2.25E-27,0.770580538,0.044,0.029,8.24E-23,0.053290394,0.090870905,-1.273351071,-1.041575145
LINC02453,3.01E-22,0.770392573,0.023,0.014,1.10E-17,0.017633796,0.030038393,-1.753654194,-1.522323306
SMCO4,0,0.77038508,0.3,0.176,0,0.344370934,0.587361945,-0.462973511,-0.231094194
AL162458.1,6.00E-19,0.768995302,0.016,0.009,2.20E-14,0.014617861,0.02486986,-1.835116179,-1.604326652
GPANK1,3.63E-167,0.768142614,0.144,0.083,1.33E-162,0.141522771,0.240983811,-0.849173677,-0.618012132
NTHL1,3.90E-75,0.768140715,0.124,0.085,1.43E-70,0.139907153,0.238231977,-0.854160081,-0.622999945
ERI3,6.27E-220,0.76741684,0.208,0.128,2.30E-215,0.247481736,0.421227969,-0.606456846,-0.3754828
AC099661.1,1.07E-19,0.767057584,0.022,0.013,3.91E-15,0.017777161,0.030212892,-1.750137582,-1.519807708
B3GNT7,6.83E-236,0.76674659,0.149,0.078,2.50E-231,0.140963717,0.239799494,-0.850892656,-0.620151737
RPL36,0,0.765872948,0.936,0.836,0,13.42049587,22.82015172,1.127768563,1.358318527
IL3RA,6.25E-30,0.764848093,0.043,0.028,2.29E-25,0.045875785,0.077911506,-1.338416487,-1.108398403
SLC25A21,2.13E-36,0.764722343,0.084,0.061,7.78E-32,0.123748033,0.210213005,-0.907461695,-0.677340419
KIAA0319L,0,0.763993668,0.409,0.275,0,0.688142862,1.168553687,-0.16232139,0.06764867
AGBL5,1.98E-100,0.763106194,0.087,0.05,7.23E-96,0.082312487,0.139655638,-1.084534276,-0.854941526
DLGAP4,0,0.762500983,0.237,0.129,0,0.268861395,0.456064004,-0.570471553,-0.340974204
LIX1L-AS1,4.38E-35,0.762471324,0.023,0.012,1.60E-30,0.0203152,0.034422343,-1.692178905,-1.463159577
PFN2,2.33E-220,0.76230484,0.148,0.08,8.53E-216,0.132219938,0.224230992,-0.87870305,-0.649304362
SRPX2,3.12E-29,0.762132752,0.032,0.019,1.14E-24,0.033228792,0.056315653,-1.478485451,-1.249370876
AC025178.1,2.18E-29,0.762021375,0.03,0.018,7.98E-25,0.030315958,0.051371528,-1.518328708,-1.289277516
ZNF423,2.09E-26,0.761465627,0.027,0.016,7.63E-22,0.032708484,0.055407561,-1.485339589,-1.256430969
C3orf67,2.84E-21,0.761140946,0.02,0.012,1.04E-16,0.021697698,0.036733665,-1.663586346,-1.434935734
SEMA3B,0,0.761058565,0.314,0.186,0,0.450157569,0.762856934,-0.346635443,-0.117556902
C2CD4B,5.98E-36,0.760616267,0.032,0.019,2.19E-31,0.035350505,0.05985107,-1.451604373,-1.222928084
TNFRSF10B,3.59E-215,0.759856133,0.307,0.214,1.31E-210,0.467099849,0.790910072,-0.330590273,-0.101872894
AC012459.1,2.68E-24,0.759778587,0.034,0.022,9.79E-20,0.046268109,0.078302319,-1.33471825,-1.106225375
SLC25A27,1.55E-50,0.759647598,0.066,0.042,5.67E-46,0.072055342,0.121954976,-1.142333818,-0.913800475
MTURN,2.20E-71,0.759214189,0.048,0.025,8.06E-67,0.047494506,0.080347432,-1.323356629,-1.095028001
AC015712.2,9.95E-41,0.759070449,0.042,0.025,3.64E-36,0.040429172,0.068382053,-1.393305149,-1.165057865
INKA2,9.51E-40,0.758965416,0.03,0.016,3.48E-35,0.032696543,0.055291323,-1.485498163,-1.25734302
LINC00330,6.32E-21,0.758656733,0.011,0.005,2.31E-16,0.006926246,0.011678341,-2.159502109,-1.932618864
TJP1,0,0.75863816,0.486,0.327,0,0.94051464,1.591209672,-0.02663444,0.20172741
HYMAI,8.34E-32,0.757807449,0.035,0.021,3.05E-27,0.034136132,0.057681147,-1.466785694,-1.238966115
TTYH3,1.58E-163,0.757728838,0.111,0.058,5.80E-159,0.105398973,0.178171118,-0.977163622,-0.749162694
SMIM27,2.80E-91,0.757573008,0.093,0.056,1.03E-86,0.084599217,0.142986883,-1.072633658,-0.8447038
AC083799.1,1.48E-26,0.757403435,0.032,0.02,5.43E-22,0.028860313,0.048746497,-1.539698966,-1.312056589
CCDC148,1.52E-15,0.756995987,0.011,0.006,5.55E-11,0.01154246,0.019466098,-1.937701633,-1.710721095
POU5F2,5.04E-17,0.756689826,0.018,0.011,1.84E-12,0.017556843,0.029623916,-1.755553567,-1.528357538
AC007405.1,8.08E-14,0.755466227,0.016,0.01,2.96E-09,0.016198233,0.027305181,-1.79053237,-1.563754946
PIK3C2B,0,0.754494834,0.273,0.16,0,0.350853134,0.591863226,-0.45487464,-0.227778643
C11orf49,0,0.75430773,0.417,0.264,0,0.662532542,1.117534143,-0.178792785,0.048260801
FAAP20,6.04E-227,0.753176392,0.215,0.131,2.21E-222,0.234237061,0.394766177,-0.630344391,-0.403660065
AC008443.5,6.75E-16,0.752847628,0.03,0.021,2.47E-11,0.025534199,0.042987751,-1.592877762,-1.366655271
DNPEP,0,0.752242463,0.356,0.217,0,0.414467977,0.698093246,-0.382509018,-0.156086564
PARM1,0,0.751976392,0.238,0.127,0,0.406792517,0.685038271,-0.390627044,-0.164285165
NUP210L,1.37E-13,0.751622405,0.019,0.013,5.01E-09,0.018406096,0.030949732,-1.735038321,-1.509343102
SLC5A3,2.15E-140,0.751406531,0.191,0.128,7.85E-136,0.272225822,0.458233664,-0.565070682,-0.338913009
DNAH7,1.34E-117,0.751395605,0.084,0.045,4.89E-113,0.093968254,0.158147746,-1.027018843,-0.800936994
ETV2,1.83E-55,0.75115623,0.045,0.025,6.69E-51,0.034707699,0.058377617,-1.459574175,-1.233753639
SEMA6A-AS1,5.70E-94,0.749675718,0.116,0.073,2.08E-89,0.129521178,0.217738476,-0.887659215,-0.662064822
HIST1H4E,7.75E-100,0.749612137,0.054,0.026,2.84E-95,0.050170103,0.084312681,-1.299555011,-1.074107098
LINC01748,2.84E-30,0.74848428,0.035,0.021,1.04E-25,0.059512247,0.099941806,-1.22539365,-1.000252806
SLC49A3,5.27E-44,0.747863974,0.026,0.013,1.93E-39,0.020293159,0.034038024,-1.692650338,-1.468035654
SLCO5A1,4.98E-188,0.747550856,0.075,0.032,1.82E-183,0.082838888,0.139041165,-1.081765741,-0.856856602
GRAMD2A,7.05E-18,0.746606888,0.026,0.017,2.58E-13,0.024733357,0.041458283,-1.606716926,-1.382388684
SLC51B,1.19E-152,0.745233101,0.275,0.204,4.35E-148,0.572937549,0.960343354,-0.241892714,-0.017573465
RBFOX2,0,0.745196939,0.531,0.335,0,0.850963292,1.426346886,-0.070089174,0.154225158
SMIM6,1.08E-59,0.744854044,0.065,0.04,3.96E-55,0.077498344,0.129831692,-1.110707579,-0.886619284
MAN1B1-DT,3.51E-30,0.744824655,0.029,0.017,1.29E-25,0.025914187,0.043385834,-1.586462408,-1.362652053
AC244090.1,3.47E-54,0.744586007,0.047,0.027,1.27E-49,0.04374301,0.073250723,-1.359091341,-1.135188085
B4GALT2,1.59E-91,0.743931107,0.093,0.056,5.83E-87,0.091105897,0.152537646,-1.04045351,-0.816622961
FGD6,9.26E-227,0.743500372,0.192,0.111,3.39E-222,0.255448726,0.427640292,-0.592696258,-0.368921382
WNK2,0,0.742428403,0.539,0.404,0,1.314291352,2.19875523,0.11869165,0.342176886
PALM,1.25E-57,0.742377514,0.031,0.015,4.59E-53,0.027144992,0.045371265,-1.566310277,-1.343219112
PDSS2,0,0.742264109,0.43,0.293,0,0.766173606,1.281614023,-0.115672813,0.107757251
CCDC14,0,0.741941223,0.429,0.293,0,0.883832269,1.478102459,-0.053630146,0.16970454
KDM7A,0,0.741775134,0.477,0.344,0,0.950213831,1.588937678,-0.022178653,0.201106863
FAM222A,6.14E-28,0.741609601,0.035,0.022,2.25E-23,0.034752575,0.058067278,-1.459013009,-1.236068532
PIK3IP1-AS1,2.99E-66,0.741198024,0.055,0.031,1.10E-61,0.061037602,0.101987786,-1.214402539,-0.991451835
1-Mar,8.29E-87,0.740870934,0.133,0.09,3.03E-82,0.145983627,0.243925127,-0.835695849,-0.61274346
TRAM2,0,0.740035202,0.151,0.06,0,0.186416376,0.311315283,-0.729515939,-0.506799559
ARMC9,2.24E-131,0.739992654,0.13,0.079,8.20E-127,0.140080713,0.233917789,-0.853621656,-0.630936749
DSN1,6.42E-113,0.739188614,0.093,0.053,2.35E-108,0.090609012,0.151207446,-1.042828606,-0.820426822
LINC02193,1.36E-12,0.739158815,0.011,0.007,4.98E-08,0.010334972,0.01721071,-1.985690687,-1.76420121
TMEM141,0,0.739042709,0.629,0.401,0,1.32567033,2.212593437,0.122435536,0.34490162
BX664727.3,1.22E-15,0.738887659,0.019,0.012,4.46E-11,0.018859176,0.031433413,-1.724477278,-1.502608463
YIPF2,2.37E-214,0.738873802,0.186,0.11,8.68E-210,0.194246772,0.324132659,-0.711646189,-0.489277208
NRSN2-AS1,7.86E-111,0.738320938,0.101,0.059,2.88E-106,0.109026213,0.181840687,-0.962469074,-0.740308937
ZC3H12B,1.06E-72,0.738272264,0.122,0.083,3.88E-68,0.159954658,0.266792204,-0.796003109,-0.573826865
RABGEF1,0,0.737362692,0.466,0.292,0,0.761061922,1.268745254,-0.118580006,0.103374431
ARHGAP29-AS1,4.43E-15,0.737027098,0.024,0.016,1.62E-10,0.024012113,0.039981427,-1.619569614,-1.398141708
GLRA4,6.77E-21,0.736770714,0.01,0.004,2.48E-16,0.007474301,0.012415016,-2.126429395,-1.906052717
B3GAT2,1.11E-27,0.736704787,0.041,0.027,4.06E-23,0.041395581,0.068939692,-1.383046021,-1.16153066
AC138305.1,7.69E-108,0.736695367,0.132,0.083,2.81E-103,0.228273922,0.380344809,-0.6415437,-0.419822506
MYO7A,6.95E-13,0.735765412,0.01,0.005,2.54E-08,0.010732892,0.017832799,-1.969283249,-1.748780492
KCTD15,4.66E-21,0.735762197,0.023,0.014,1.70E-16,0.021970775,0.036546948,-1.658154617,-1.437148883
PDK2,2.16E-205,0.735386482,0.214,0.133,7.90E-201,0.235476592,0.391991168,-0.628052259,-0.406723718
KDM8,8.03E-110,0.734395005,0.064,0.032,2.94E-105,0.05465822,0.09089437,-1.262344514,-1.041463014
NSUN6,1.47E-252,0.732695527,0.255,0.159,5.39E-248,0.321975578,0.534999507,-0.492177069,-0.271646618
NAPRT,1.06E-219,0.732622035,0.394,0.304,3.89E-215,0.681261918,1.131982676,-0.166685887,0.05383978
AL078590.2,4.97E-71,0.732375054,0.033,0.015,1.82E-66,0.034826501,0.05781926,-1.45809016,-1.237927469
CKMT1B,2.39E-167,0.731793969,0.179,0.112,8.74E-163,0.178772865,0.296848095,-0.7476984,-0.527465734
FUT4,5.80E-82,0.731254521,0.11,0.071,2.12E-77,0.11013218,0.182787933,-0.958085763,-0.738052478
ATOX1,0,0.73065117,0.474,0.348,0,0.885107478,1.468696113,-0.05300399,0.166931946
AKT1S1,1.18E-109,0.730425151,0.119,0.073,4.31E-105,0.115324625,0.191297783,-0.938077948,-0.718290063
TPM1,0,0.730377966,0.827,0.579,0,2.790051438,4.628860404,0.44561221,0.665474084
HEXIM1,1.48E-216,0.730345,0.212,0.129,5.40E-212,0.274799435,0.455861568,-0.560984164,-0.34116702
DUSP8,6.37E-94,0.729900745,0.088,0.051,2.33E-89,0.087947831,0.145823144,-1.055774867,-0.836173542
SIAH2-AS1,2.23E-69,0.729114248,0.048,0.025,8.17E-65,0.042655405,0.07066596,-1.370025932,-1.150789737
AC004837.4,1.97E-08,0.729018838,0.011,0.007,0.000722014,0.0111604,0.018457952,-1.952320242,-1.733816487
CUL7,7.50E-78,0.7277429,0.066,0.038,2.75E-73,0.065544858,0.108504761,-1.183461374,-0.964551204
LYSMD4,3.81E-60,0.727665753,0.056,0.032,1.39E-55,0.055470642,0.091816482,-1.255936806,-1.037079351
PLPPR1,1.62E-16,0.726253173,0.017,0.01,5.91E-12,0.022951013,0.037928148,-1.639198139,-1.421038366
AC004540.1,2.87E-45,0.725863352,0.014,0.005,1.05E-40,0.012700982,0.020965462,-1.896162692,-1.678495561
AC093249.2,3.53E-19,0.725805997,0.02,0.012,1.29E-14,0.018222596,0.030096406,-1.739389748,-1.521485363
AGO4,3.95E-176,0.725323182,0.204,0.131,1.44E-171,0.278464624,0.460336902,-0.55522997,-0.33692421
AC092910.3,1.64E-33,0.725265086,0.042,0.026,6.00E-29,0.043523802,0.071913168,-1.361273177,-1.143191581
FKBP7,6.45E-27,0.725206515,0.026,0.015,2.36E-22,0.0256942,0.042435467,-1.590164904,-1.372271016
LINC01224,2.12E-36,0.725045208,0.054,0.035,7.75E-32,0.052037601,0.085975105,-1.283682737,-1.065627287
PINK1-AS,2.67E-13,0.725022752,0.022,0.015,9.78E-09,0.020972715,0.034625787,-1.678345345,-1.460600348
AC010168.2,4.26E-94,0.724730906,0.046,0.021,1.56E-89,0.04126268,0.068149813,-1.384442572,-1.166535332
FOXP4,4.09E-114,0.724724302,0.114,0.069,1.50E-109,0.126989197,0.20981984,-0.896233223,-0.678153448
RNF227,8.67E-11,0.724147662,0.014,0.009,3.18E-06,0.013405291,0.022103945,-1.872723769,-1.655530208
MAPK3,0,0.723671525,0.395,0.252,0,0.557670575,0.920885057,-0.25362227,-0.035794574
AC005072.1,2.78E-23,0.723201065,0.017,0.009,1.02E-18,0.014037539,0.023133153,-1.852709039,-1.635765177
WDR25,4.82E-153,0.722526459,0.128,0.073,1.76E-148,0.13692913,0.225901934,-0.86350415,-0.646080051
ZNF311,2.25E-09,0.722347362,0.016,0.011,8.22E-05,0.016308703,0.026866549,-1.787580588,-1.570788119
TPCN1,1.18E-301,0.72224961,0.307,0.195,4.30E-297,0.414530667,0.683832409,-0.382443335,-0.16505032
ARHGAP24,0,0.721741928,0.208,0.089,0,0.383275091,0.632045971,-0.416489404,-0.199251333
AFDN-DT,5.76E-18,0.721717148,0.033,0.023,2.11E-13,0.034991582,0.057665546,-1.45603642,-1.239083592
NUP62CL,7.76E-34,0.721714881,0.033,0.02,2.84E-29,0.035633221,0.058723608,-1.448144917,-1.231187266
PRR26,7.49E-88,0.721483873,0.092,0.055,2.74E-83,0.092767484,0.152921576,-1.032604221,-0.815531235
RPP25L,1.78E-177,0.720909578,0.196,0.124,6.51E-173,0.199317238,0.328478221,-0.700455139,-0.48349342
PLEKHG3,6.33E-90,0.720827736,0.105,0.066,2.32E-85,0.127905746,0.21076435,-0.893109945,-0.676202847
CCL15,0,0.720673544,0.464,0.297,0,0.791964456,1.305078184,-0.101294309,0.11563653
CNGA4,9.61E-08,0.72001765,0.011,0.008,0.003518121,0.012472295,0.020503773,-1.904053638,-1.688166206
AL162390.1,5.46E-19,0.719709528,0.024,0.015,2.00E-14,0.022012254,0.03621027,-1.657335477,-1.441168234
ATP2A3,0,0.718913847,0.31,0.134,0,0.510222146,0.839755635,-0.292240695,-0.075847073
DNAJC27-AS1,1.39E-68,0.718911127,0.051,0.027,5.11E-64,0.046838247,0.077052284,-1.329399367,-1.113214483
RABAC1,0,0.718639446,0.594,0.402,0,1.201515779,1.977209023,0.079729479,0.296052584
DNMBP-AS1,1.11E-33,0.71847453,0.048,0.031,4.06E-29,0.048808544,0.080270962,-1.311504145,-1.095441533
RILPL1,3.77E-31,0.718364324,0.03,0.017,1.38E-26,0.029158225,0.04793385,-1.535238915,-1.319357687
AC004112.1,1.51E-07,0.718136595,0.01,0.007,0.005521845,0.010987524,0.018034458,-1.959100145,-1.743896911
AL162231.2,9.56E-45,0.717632954,0.034,0.019,3.50E-40,0.032282955,0.05304809,-1.49102672,-1.275330247
EDF1,0,0.717405535,0.822,0.661,0,3.79009214,6.231714109,0.578649768,0.794607521
DNAJB2,4.79E-120,0.717280851,0.118,0.07,1.75E-115,0.124985183,0.205445048,-0.903141469,-0.687304321
KREMEN2,1.90E-26,0.717111767,0.012,0.005,6.95E-22,0.014911006,0.024471377,-1.826493056,-1.611341597
TXNRD3,7.75E-23,0.717044153,0.031,0.02,2.83E-18,0.034179417,0.056143848,-1.466235344,-1.250697825
REEP4,3.12E-44,0.716980061,0.076,0.052,1.14E-39,0.08429676,0.138521115,-1.074189118,-0.858484022
HEMK1,3.56E-70,0.716075836,0.077,0.047,1.30E-65,0.078367733,0.128694631,-1.105862715,-0.890439573
RPS17,0,0.716015423,0.82,0.603,0,4.380311164,7.195229129,0.641504963,0.857044628
LINC00501,8.38E-20,0.715935464,0.024,0.015,3.07E-15,0.023100459,0.037902958,-1.636379386,-1.421326894
SLC26A6,4.17E-167,0.714716207,0.138,0.079,1.53E-162,0.145182062,0.238226381,-0.838087039,-0.623010147
AL157756.1,5.10E-09,0.713778556,0.016,0.011,0.000186835,0.017564356,0.028766524,-1.755367767,-1.541112611
IFT20,6.89E-278,0.712716282,0.225,0.131,2.52E-273,0.234404231,0.384121339,-0.630034553,-0.415531566
EPHB3,1.46E-81,0.711441933,0.09,0.055,5.34E-77,0.105556775,0.172802181,-0.976513886,-0.762450782
AC009403.1,3.64E-52,0.711327565,0.062,0.038,1.33E-47,0.05408604,0.088514924,-1.266914819,-1.052983499
CCDC22,1.42E-67,0.711134613,0.075,0.046,5.20E-63,0.073131561,0.119682333,-1.135895158,-0.921969955
PEX11G,1.19E-73,0.711126092,0.077,0.046,4.35E-69,0.069404728,0.113580498,-1.158610941,-0.944696233
AL596223.1,2.45E-24,0.711076626,0.018,0.01,8.96E-20,0.017872891,0.029217679,-1.747805201,-1.534354287
GDPD2,2.39E-157,0.710981844,0.089,0.043,8.75E-153,0.080509181,0.131746211,-1.094154594,-0.880261865
CXXC5,4.07E-267,0.709999022,0.152,0.077,1.49E-262,0.167203389,0.273471102,-0.776754924,-0.563088559
KDM7A-DT,3.01E-58,0.709829414,0.07,0.044,1.10E-53,0.070088445,0.114596706,-1.154353572,-0.940827867
MIR4500HG,2.73E-14,0.709691879,0.021,0.014,9.98E-10,0.028292451,0.046230316,-1.548329434,-1.335073134
EPHA10,8.18E-105,0.709132241,0.099,0.058,2.99E-100,0.107408307,0.17555259,-0.968962128,-0.755592758
IL4R,1.39E-304,0.709107676,0.226,0.127,5.08E-300,0.279885005,0.45751324,-0.553020369,-0.339596333
TBC1D2,2.11E-170,0.709077924,0.166,0.1,7.73E-166,0.186874845,0.305454612,-0.728449155,-0.515053313
POLG,1.00E-155,0.709060489,0.16,0.098,3.67E-151,0.184695318,0.301887963,-0.733544113,-0.520154203
AC004130.2,5.30E-82,0.70889155,0.082,0.049,1.94E-77,0.078414025,0.128130756,-1.105606255,-0.892346613
MAP7,0,0.708182962,0.628,0.469,0,1.625853561,2.656189665,0.211081426,0.424259083
KCP,3.67E-83,0.708027403,0.086,0.052,1.34E-78,0.077980076,0.127345113,-1.108016347,-0.895017716
