Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
C1orf35,7.35E-13,0.199239697,0.108,0.208,2.69E-08,0.313792675,0.359400762,-0.503357198,-0.444421006
MAGOHB,9.74E-08,0.198242352,0.105,0.174,0.003563889,0.250932682,0.287032531,-0.600442771,-0.542068879
GMEB1,2.42E-07,0.198020874,0.054,0.103,0.008841744,0.137082774,0.156388417,-0.863017115,-0.805795416
ATG13,5.70E-09,0.197690332,0.092,0.163,0.000208712,0.258875109,0.296031247,-0.586909705,-0.528662446
ITGB1BP1,2.91E-07,0.197496452,0.098,0.162,0.01064516,0.248358888,0.283932327,-0.604920294,-0.546785158
BOLA3,6.57E-10,0.197176975,0.14,0.235,2.41E-05,0.38251587,0.437673913,-0.417350542,-0.358849338
WHAMM,5.46E-11,0.19710134,0.066,0.139,2.00E-06,0.187406099,0.213978504,-0.727216279,-0.669629854
UBAP1,2.50E-09,0.196849675,0.208,0.322,9.17E-05,0.709158553,0.811969907,-0.149256655,-0.090460066
HBS1L,1.87E-12,0.196677963,0.099,0.192,6.83E-08,0.301310226,0.344456007,-0.520986129,-0.462866237
RNFT1,6.42E-10,0.196337332,0.041,0.099,2.35E-05,0.123386043,0.140511483,-0.908733962,-0.852288183
RNPS1,1.15E-08,0.196240888,0.264,0.387,0.00042108,0.913785814,1.046070306,-0.039155588,0.019560874
SLC31A1,3.92E-11,0.194791501,0.093,0.178,1.44E-06,0.2570313,0.293324911,-0.590013988,-0.532651052
FBXL20,1.46E-09,0.19467256,0.196,0.305,5.36E-05,0.669919775,0.76583681,-0.173977202,-0.115863763
NDUFV3,4.66E-07,0.194489262,0.231,0.338,0.017043867,0.690504634,0.789295048,-0.160833402,-0.102760622
AC010642.2,7.76E-08,0.194449471,0.124,0.2,0.002840709,0.285266297,0.325564123,-0.544749535,-0.48736346
CCDC12,7.01E-08,0.194166587,0.272,0.398,0.002564116,0.928746313,1.061681842,-0.032102898,0.02599439
HTATSF1,1.84E-09,0.194128886,0.105,0.184,6.75E-05,0.292453892,0.333714439,-0.533942595,-0.476625002
SUDS3,8.94E-11,0.194119111,0.12,0.212,3.27E-06,0.310003558,0.353789436,-0.508633321,-0.451255139
CEP89,6.17E-07,0.194058741,0.057,0.107,0.022569184,0.146199869,0.166386851,-0.835053018,-0.778880997
CCDC130,2.48E-09,0.193881575,0.093,0.168,9.08E-05,0.244275297,0.278548623,-0.61212045,-0.555098984
FBXL6,1.02E-07,0.19365203,0.032,0.075,0.003720062,0.078926119,0.089401737,-1.102779252,-1.048654041
EHMT2,5.10E-12,0.19361517,0.071,0.15,1.87E-07,0.217186822,0.247517949,-0.663166529,-0.606393302
CLPX,8.87E-11,0.193446513,0.097,0.18,3.25E-06,0.252199503,0.287525639,-0.598255773,-0.541323423
PAIP2,2.47E-10,0.193419934,0.207,0.332,9.05E-06,0.705989879,0.806416517,-0.151201525,-0.093440586
USP12,3.66E-11,0.193334815,0.113,0.205,1.34E-06,0.364814001,0.41626714,-0.437928502,-0.38062787
PPL,6.17E-09,0.193196655,0.088,0.156,0.000225716,0.236436468,0.269453909,-0.626285537,-0.569515511
DDX10,6.73E-10,0.192844197,0.113,0.198,2.46E-05,0.337956877,0.385427212,-0.471138712,-0.414057626
COPS6,7.76E-13,0.192602175,0.204,0.335,2.84E-08,0.697720474,0.796508582,-0.156318533,-0.09880954
ZNF703,1.42E-07,0.192420098,0.155,0.238,0.0051916,0.381186062,0.434710748,-0.418862988,-0.361799622
NOL4L,3.62E-10,0.19224825,0.168,0.273,1.32E-05,0.494148949,0.563723803,-0.306142124,-0.248933627
STK24,4.96E-07,0.192147084,0.238,0.344,0.018139733,0.903764821,1.031655074,-0.043944568,0.013534519
LHFPL5,6.50E-11,0.192088545,0.069,0.143,2.38E-06,0.210416176,0.239520343,-0.676920877,-0.620657594
KMT5B,5.35E-10,0.191809942,0.182,0.295,1.96E-05,0.568782297,0.64879819,-0.245053929,-0.187890371
IFT27,1.38E-07,0.191680917,0.081,0.142,0.005043534,0.193122915,0.219701906,-0.714166192,-0.658166175
JMJD8,6.46E-09,0.191574835,0.054,0.112,0.0002364,0.132561735,0.150524235,-0.877581821,-0.82239357
RNF121,1.60E-10,0.191373238,0.091,0.17,5.85E-06,0.239748042,0.272893773,-0.620244931,-0.564006374
TRAPPC2B,1.71E-11,0.191225053,0.055,0.125,6.26E-07,0.150154607,0.170573892,-0.823461337,-0.768087441
SLC7A2,2.20E-11,0.191215749,0.056,0.126,8.06E-07,0.193011993,0.219504154,-0.714415704,-0.658557257
MCFD2,2.01E-14,0.190992173,0.098,0.199,7.36E-10,0.270242816,0.307632734,-0.568245842,-0.511967454
MACROD1,2.06E-13,0.190845587,0.12,0.226,7.55E-09,0.376680275,0.429092568,-0.424027121,-0.367449007
DDI2,5.23E-14,0.190802433,0.123,0.231,1.91E-09,0.373998083,0.426018257,-0.427130624,-0.370571789
BRD4,4.58E-07,0.190615323,0.203,0.3,0.016769244,0.625943547,0.713495747,-0.203464833,-0.146608611
EARS2,2.14E-10,0.190074129,0.037,0.094,7.82E-06,0.106137353,0.120221301,-0.974131749,-0.920018575
CDC40,1.75E-11,0.190037724,0.096,0.183,6.41E-07,0.258768997,0.29433944,-0.587087757,-0.53115154
PPP1R37,1.33E-10,0.190017237,0.073,0.146,4.87E-06,0.190146243,0.216051964,-0.720912252,-0.665441781
SETD4,3.53E-09,0.190001217,0.045,0.1,0.000129317,0.114773794,0.130067328,-0.940157261,-0.88583178
KIF12,3.95E-13,0.189809505,0.172,0.295,1.45E-08,0.564123874,0.642584515,-0.248625521,-0.192069744
SNRNP70,1.78E-08,0.189466882,0.269,0.39,0.000650293,0.964459037,1.098950819,-0.015716213,0.040978257
UPF2,5.93E-10,0.189266124,0.178,0.284,2.17E-05,0.564074882,0.642286346,-0.248663239,-0.19227131
PAK4,4.21E-16,0.188842843,0.137,0.26,1.54E-11,0.418083056,0.47568902,-0.378737433,-0.322676873
GYS1,3.81E-09,0.188787336,0.076,0.143,0.000139387,0.200140235,0.227258314,-0.698665596,-0.64348022
FNBP4,2.39E-10,0.188733304,0.228,0.357,8.75E-06,0.811234775,0.923752446,-0.090853441,-0.034444399
MAP3K7,1.82E-10,0.188709976,0.091,0.171,6.67E-06,0.24724348,0.280931728,-0.606875152,-0.551399209
SLC44A4,2.78E-08,0.188197694,0.202,0.309,0.001018089,0.629253512,0.716070794,-0.201174352,-0.145044039
LSM8,1.94E-09,0.188188492,0.222,0.34,7.09E-05,0.727923732,0.828484383,-0.137914121,-0.081715674
LXN,3.05E-11,0.188130451,0.081,0.16,1.12E-06,0.223406613,0.25366153,-0.650903976,-0.595745392
UBA3,3.80E-11,0.187954386,0.118,0.211,1.39E-06,0.331651984,0.376937897,-0.479317401,-0.423730197
CSNK2A2,7.79E-08,0.18747085,0.077,0.138,0.002851247,0.181155419,0.205430973,-0.741948671,-0.687334076
SHKBP1,3.99E-07,0.187381454,0.045,0.091,0.014595619,0.107212855,0.121220158,-0.969753138,-0.916425154
BORCS5,4.29E-10,0.187381294,0.06,0.126,1.57E-05,0.184783081,0.209548968,-0.733337795,-0.678714473
TMF1,2.15E-08,0.187241892,0.158,0.251,0.000788728,0.432083797,0.491101501,-0.364432019,-0.308828739
CRCP,2.14E-07,0.187215851,0.101,0.167,0.007819647,0.269765867,0.306283209,-0.569013002,-0.513876811
YAF2,3.22E-11,0.18718438,0.134,0.235,1.18E-06,0.410987504,0.467062926,-0.386171382,-0.330624605
USP48,2.43E-10,0.18680072,0.144,0.244,8.91E-06,0.419168067,0.476249919,-0.37761181,-0.322165085
EXOSC10,2.78E-11,0.186427414,0.07,0.146,1.02E-06,0.196693037,0.222962726,-0.706211014,-0.651767734
NECAP1,7.18E-08,0.185754443,0.071,0.13,0.002627845,0.165573275,0.187462356,-0.781009762,-0.727085928
MIER1,8.58E-10,0.185437345,0.172,0.278,3.14E-05,0.516076582,0.585999883,-0.287285847,-0.232102471
CARS,9.55E-07,0.18535398,0.069,0.121,0.034956593,0.167086081,0.189130289,-0.777059728,-0.723238913
WASL,5.26E-09,0.185305704,0.203,0.314,0.000192339,0.620894702,0.705130604,-0.206982046,-0.151730436
MTMR2,9.24E-09,0.185305537,0.098,0.17,0.000338286,0.265740193,0.301299334,-0.575542753,-0.521001828
ZNF655,9.11E-08,0.185217957,0.083,0.146,0.003336026,0.200867508,0.227521478,-0.697090309,-0.6429776
CCDC14,2.64E-09,0.18516323,0.161,0.257,9.67E-05,0.532633653,0.604712874,-0.273571397,-0.218450786
NBDY,4.35E-07,0.185149293,0.258,0.37,0.01590539,0.881371792,1.001199486,-0.054840853,0.000520618
DNAJB14,2.86E-11,0.184792195,0.145,0.247,1.05E-06,0.433996232,0.492440603,-0.362514041,-0.307646146
SP100,4.35E-11,0.184500235,0.117,0.208,1.59E-06,0.349042548,0.395797439,-0.457121629,-0.40252702
BSPRY,4.17E-07,0.184214803,0.042,0.087,0.01526351,0.090675441,0.102162666,-1.042510324,-0.990707782
DDX21,5.70E-08,0.183869426,0.198,0.299,0.002086874,0.629099474,0.713748102,-0.201280678,-0.146455034
ZBTB8OS,4.53E-10,0.183422973,0.154,0.253,1.66E-05,0.432399898,0.490159872,-0.364114417,-0.309662246
DPY30,3.24E-07,0.183288734,0.298,0.415,0.011869557,1.123020733,1.274292958,0.050387774,0.105269283
ADA2,2.00E-08,0.183252174,0.047,0.099,0.000732742,0.124491804,0.140490405,-0.90485924,-0.852353334
ZNF664,1.02E-08,0.182647588,0.112,0.189,0.000373479,0.261220203,0.295613098,-0.582993238,-0.529276327
JUP,2.82E-09,0.182620067,0.278,0.411,0.000103234,1.098593457,1.245978503,0.040837008,0.095510549
MTA1,1.90E-11,0.182183074,0.084,0.167,6.95E-07,0.249450229,0.282163444,-0.603016093,-0.549499252
RAB21,1.52E-08,0.18206837,0.136,0.221,0.000557504,0.364334695,0.41247843,-0.43849947,-0.384598757
AL096870.8,2.71E-07,0.181926289,0.058,0.11,0.009911567,0.129285342,0.14579832,-0.888450711,-0.836247481
GUF1,5.09E-10,0.181502862,0.054,0.118,1.86E-05,0.137583942,0.155166426,-0.861432251,-0.809202244
EZH1,1.19E-08,0.181372466,0.049,0.104,0.00043379,0.153239482,0.172905111,-0.814629326,-0.762192168
KIF13B,2.30E-10,0.181352252,0.266,0.402,8.42E-06,1.278686154,1.449098706,0.106763963,0.161097969
ZNF721,1.56E-09,0.181155073,0.185,0.292,5.72E-05,0.563105495,0.637581437,-0.249410234,-0.195464336
ANXA13,1.06E-06,0.18114244,0.605,0.559,0.038749462,4.728917156,5.360695404,0.674761706,0.729221131
IL10RB,5.52E-09,0.181039232,0.142,0.231,0.000201978,0.386045738,0.436797484,-0.413361238,-0.359719872
YIPF2,7.87E-10,0.180945989,0.132,0.222,2.88E-05,0.320561487,0.362534485,-0.494088656,-0.440650677
CEP290,6.05E-11,0.180830126,0.131,0.226,2.21E-06,0.395101713,0.446999325,-0.403291087,-0.349693133
AP000873.2,4.29E-08,0.180533965,0.039,0.086,0.001569384,0.107663433,0.121152652,-0.967931778,-0.916667076
CBLL1,6.62E-08,0.18050916,0.04,0.086,0.00242195,0.10701961,0.120420919,-0.970536637,-0.919298061
CEP104,5.80E-08,0.180280578,0.057,0.111,0.002123798,0.144585209,0.162967442,-0.839876134,-0.787899153
EEF2K,1.09E-09,0.180252953,0.106,0.188,3.99E-05,0.312717214,0.353471743,-0.504848211,-0.451645298
MAPK1,1.15E-07,0.180153073,0.165,0.252,0.004193776,0.46322999,0.523978803,-0.334203331,-0.280686281
DPM1,2.26E-10,0.180133313,0.16,0.264,8.27E-06,0.436646305,0.493852603,-0.35987021,-0.306402653
UBE3B,2.47E-11,0.180070043,0.055,0.124,9.03E-07,0.163943099,0.18487484,-0.785306858,-0.733122189
AC118549.1,9.36E-13,0.179971092,0.199,0.333,3.43E-08,0.713834422,0.807812636,-0.146402513,-0.092689358
DCAF5,2.62E-12,0.179936246,0.149,0.258,9.59E-08,0.470823545,0.532502163,-0.327141827,-0.273678624
SETDB2,1.28E-06,0.17976349,0.056,0.103,0.047026483,0.145920076,0.164420729,-0.835884952,-0.784043431
PRPF18,1.28E-06,0.179582914,0.092,0.152,0.046738217,0.205876551,0.23230413,-0.686393116,-0.633943069
PM20D2,1.72E-14,0.178817601,0.062,0.149,6.28E-10,0.179184316,0.201966035,-0.746700007,-0.69472166
GPBP1,5.85E-07,0.178788294,0.315,0.448,0.021412509,1.363105737,1.542081387,0.134529546,0.188107295
HDDC3,2.61E-15,0.178775573,0.087,0.189,9.56E-11,0.236848439,0.267231462,-0.625529474,-0.573112412
S100PBP,1.43E-09,0.178608035,0.056,0.118,5.23E-05,0.170737664,0.192376724,-0.767670666,-0.715847475
MED8,1.56E-09,0.17854548,0.087,0.162,5.70E-05,0.21710525,0.244844504,-0.663329674,-0.611109641
EDC4,3.71E-07,0.17849386,0.052,0.1,0.013577521,0.131487221,0.147941635,-0.881116452,-0.829909587
TRIP12,3.80E-07,0.178391122,0.223,0.323,0.013917692,0.705621543,0.797633612,-0.151428169,-0.098196553
PSMD10,1.65E-10,0.17813967,0.062,0.13,6.05E-06,0.154061861,0.173446592,-0.812304859,-0.760834229
YIPF5,1.04E-10,0.178007446,0.117,0.207,3.81E-06,0.298481227,0.336815176,-0.525082979,-0.472608349
MYCBP,8.54E-10,0.177766499,0.089,0.164,3.13E-05,0.227466444,0.256431733,-0.643082662,-0.591028233
SIRT5,5.88E-11,0.177621154,0.076,0.153,2.15E-06,0.196589205,0.221483116,-0.706440334,-0.654659376
HTT,5.76E-09,0.177612366,0.145,0.235,0.000210772,0.426686761,0.481724521,-0.369890832,-0.317201247
NT5C,1.50E-11,0.177168558,0.204,0.326,5.51E-07,0.645020761,0.728438185,-0.190426307,-0.137607297
TRIP4,6.83E-07,0.176859626,0.068,0.12,0.02501482,0.164491827,0.185082237,-0.783855676,-0.732635261
UTY,1.31E-06,0.176850882,0.15,0.224,0.048036495,0.521078208,0.588171247,-0.283097089,-0.23049621
OSBPL9,4.34E-07,0.176508318,0.275,0.393,0.015876861,0.989195925,1.117072452,-0.004717681,0.048081342
ZNF141,6.05E-08,0.176475406,0.082,0.145,0.002215223,0.210091241,0.236565508,-0.677592053,-0.626048577
HPS4,7.88E-19,0.17640032,0.08,0.193,2.88E-14,0.287074537,0.32354895,-0.542005327,-0.490060005
NCKAP1,1.31E-08,0.176380494,0.243,0.361,0.000479121,0.806626411,0.910661599,-0.093327562,-0.040642977
ACTR1A,3.65E-08,0.176222929,0.082,0.146,0.001335018,0.2194948,0.247149244,-0.658575763,-0.607040713
GATD1,5.82E-08,0.175373038,0.047,0.098,0.002130027,0.131685845,0.147844353,-0.880460905,-0.830195259
ERCC5,2.76E-11,0.17457388,0.07,0.146,1.01E-06,0.207873768,0.233750044,-0.682200312,-0.631248299
LRP10,5.41E-08,0.174541139,0.135,0.216,0.001979327,0.336524873,0.37894105,-0.472982831,-0.421428346
CDK10,2.75E-12,0.174476857,0.158,0.272,1.01E-07,0.488455801,0.55038655,-0.311174728,-0.259332187
C1orf122,1.29E-07,0.173972723,0.112,0.182,0.004722026,0.266100453,0.299341362,-0.574954386,-0.52383327
MICU1,8.54E-10,0.173569644,0.26,0.396,3.13E-05,1.007407712,1.135337662,0.003205271,0.055125045
DNPEP,7.65E-11,0.173215641,0.176,0.289,2.80E-06,0.482997655,0.543750404,-0.316054978,-0.264600408
CZIB,1.61E-11,0.173140261,0.105,0.196,5.91E-07,0.295815531,0.332672227,-0.528979029,-0.477983455
RNF40,4.74E-09,0.173139228,0.09,0.161,0.000173514,0.218637287,0.245652806,-0.660275771,-0.60967827
ESCO1,2.53E-08,0.172693864,0.117,0.194,0.000924484,0.306974975,0.345147528,-0.512897028,-0.461995233
DDX60,2.74E-07,0.172360702,0.028,0.068,0.010041958,0.08345852,0.093186726,-1.078529321,-1.030645945
ALG5,2.28E-09,0.172317621,0.176,0.281,8.33E-05,0.4651685,0.523320408,-0.332389702,-0.281232328
ARHGEF39,4.67E-07,0.172211599,0.014,0.046,0.017103596,0.053866736,0.059833442,-1.268679339,-1.223056012
SLC25A11,1.26E-10,0.172125876,0.147,0.247,4.62E-06,0.396131648,0.445465711,-0.40216046,-0.351185719
ZNF565,2.21E-10,0.172110547,0.113,0.202,8.09E-06,0.385610584,0.433606827,-0.413851054,-0.362903888
SNX12,2.08E-10,0.171860058,0.066,0.135,7.61E-06,0.160731154,0.180202481,-0.793899937,-0.744239235
THOC2,6.66E-07,0.171810313,0.275,0.397,0.024358277,0.977970891,1.100793189,-0.009674072,0.041705734
ZBTB43,5.74E-09,0.171280383,0.112,0.189,0.00021007,0.32347987,0.363394135,-0.49015274,-0.439622086
KIFAP3,2.14E-09,0.171102242,0.076,0.143,7.83E-05,0.218742456,0.245423378,-0.660066917,-0.61008407
HIRA,3.03E-08,0.171024259,0.047,0.099,0.001108035,0.119215926,0.133357373,-0.923665723,-0.874982967
OARD1,1.80E-14,0.171000628,0.169,0.297,6.60E-10,0.538645513,0.605565394,-0.268696954,-0.217838952
MPRIP,2.09E-10,0.17097438,0.175,0.283,7.65E-06,0.614588183,0.69105203,-0.211415794,-0.160489253
POLR3E,6.27E-09,0.170267161,0.069,0.133,0.000229473,0.166557989,0.186559401,-0.778434531,-0.72918286
ATG4C,1.04E-06,0.17016774,0.05,0.096,0.037958911,0.135304327,0.151380198,-0.868688315,-0.81993093
CEP70,2.83E-09,0.170127124,0.088,0.16,0.000103484,0.237235611,0.266064673,-0.62482012,-0.575012785
C1orf210,1.07E-10,0.17003524,0.117,0.208,3.92E-06,0.272121387,0.30529717,-0.565237324,-0.515277222
FAM222B,2.07E-07,0.169899407,0.181,0.272,0.007579468,0.541237831,0.608018972,-0.266611855,-0.216082869
PIGM,3.23E-08,0.169510944,0.054,0.109,0.001180879,0.122544158,0.136959826,-0.911707389,-0.863406804
PEX1,1.93E-07,0.169347998,0.037,0.081,0.007056186,0.103619588,0.115662631,-0.98455814,-0.936806933
ARFGAP2,1.54E-12,0.169227784,0.1,0.193,5.65E-08,0.295925211,0.331892218,-0.528818035,-0.479002931
COP1,7.72E-07,0.169081776,0.286,0.404,0.028270828,1.083252252,1.217083916,0.034729601,0.085320523
AC019205.1,1.17E-06,0.169072129,0.029,0.066,0.042936291,0.093528425,0.104294499,-1.029056381,-0.981738597
MICAL3,7.97E-11,0.168747931,0.156,0.259,2.92E-06,0.560250862,0.628905394,-0.251617467,-0.20141468
ERCC8,2.33E-13,0.168719924,0.064,0.147,8.52E-09,0.199531744,0.22342299,-0.699988002,-0.650872141
LAMC1,1.32E-08,0.168265557,0.141,0.225,0.000482468,0.446721828,0.501121519,-0.349962826,-0.300056948
TFB1M,4.11E-14,0.168150632,0.094,0.193,1.51E-09,0.28538894,0.319805121,-0.544562861,-0.495114586
NDUFAF5,8.12E-08,0.167842133,0.054,0.107,0.002972019,0.130700311,0.145962912,-0.883723377,-0.835757482
COMMD8,5.64E-12,0.167772363,0.086,0.171,2.06E-07,0.210003458,0.235038831,-0.677773553,-0.628860381
CRTC3,9.77E-10,0.167696632,0.104,0.184,3.58E-05,0.319312285,0.357809082,-0.495784373,-0.44634864
KBTBD4,1.07E-07,0.16751803,0.017,0.053,0.003899888,0.058224048,0.06453005,-1.234897606,-1.190237997
SLC35E3,2.78E-07,0.167042406,0.063,0.116,0.010184008,0.155817797,0.174082303,-0.807382942,-0.759245376
PIK3C2A,2.45E-09,0.166956733,0.23,0.352,8.97E-05,0.797116982,0.894050655,-0.098477938,-0.048637874
MTERF2,8.85E-09,0.166811341,0.027,0.073,0.000323943,0.089440206,0.099540486,-1.048467207,-1.002000245
RAF1,5.75E-11,0.166534922,0.174,0.285,2.11E-06,0.544630685,0.610408628,-0.263897894,-0.214379336
GIGYF2,1.54E-08,0.166475197,0.225,0.336,0.000562266,0.732796051,0.821563776,-0.13501688,-0.085358718
INO80,3.25E-09,0.166372254,0.149,0.241,0.000119092,0.444867084,0.498381701,-0.351769727,-0.302437912
ATG12,4.93E-11,0.166201979,0.149,0.252,1.81E-06,0.409108203,0.458197719,-0.388161813,-0.338947077
CSPP1,4.63E-10,0.166191336,0.134,0.225,1.70E-05,0.417180271,0.467251938,-0.379676238,-0.330448889
PTGR2,2.69E-12,0.165898988,0.034,0.098,9.83E-08,0.113285114,0.126227766,-0.945827156,-0.898845104
HDGFL3,2.91E-07,0.165719054,0.085,0.146,0.010656683,0.254906293,0.285071935,-0.593619442,-0.545045537
RSF1,1.49E-09,0.165714644,0.257,0.389,5.45E-05,0.972395893,1.089894634,-0.012156884,0.037384515
TXLNG,1.81E-11,0.165643655,0.077,0.157,6.64E-07,0.210961969,0.235766119,-0.675795829,-0.627518605
KLHDC10,6.96E-13,0.165585802,0.139,0.246,2.55E-08,0.440219961,0.492897303,-0.356330269,-0.307243558
OSTF1,2.68E-07,0.165454818,0.088,0.149,0.009814178,0.226048101,0.252654538,-0.645799138,-0.597472897
ADGRD1,1.14E-07,0.165206966,0.077,0.138,0.004179397,0.207439814,0.231745012,-0.683107886,-0.634989604
RNF4,1.44E-07,0.164957289,0.082,0.142,0.005253235,0.20208685,0.225703373,-0.694461946,-0.646461951
USP22,2.64E-09,0.164795084,0.164,0.261,9.66E-05,0.514720758,0.57614265,-0.288428317,-0.239469974
ALAD,6.19E-13,0.16448995,0.063,0.143,2.27E-08,0.173771873,0.193895417,-0.760020518,-0.712432456
SCLT1,3.43E-11,0.162942166,0.157,0.266,1.26E-06,0.66825553,0.74729465,-0.175057439,-0.126508127
CERT1,6.40E-10,0.16272814,0.226,0.351,2.34E-05,0.792652725,0.886434125,-0.100917043,-0.052353533
C5orf15,8.01E-11,0.162570777,0.146,0.245,2.93E-06,0.395591307,0.441914507,-0.402753261,-0.354661742
TP53,1.02E-07,0.162525303,0.122,0.198,0.003739429,0.334028335,0.372996529,-0.476216691,-0.428295209
PIN1,5.21E-11,0.162363002,0.155,0.261,1.91E-06,0.457283566,0.510891699,-0.339814406,-0.291671154
CTDSP1,1.40E-12,0.162309218,0.149,0.26,5.11E-08,0.436589522,0.487714393,-0.359926691,-0.311834427
TGIF2,1.61E-12,0.161833382,0.144,0.253,5.88E-08,0.430934833,0.481227324,-0.3655884,-0.317649721
CHCHD6,1.35E-09,0.161737207,0.065,0.13,4.94E-05,0.173575655,0.193304636,-0.760511187,-0.713757731
MRE11,1.67E-09,0.161400758,0.076,0.145,6.13E-05,0.212312226,0.23658127,-0.673024997,-0.626019641
RNF185,1.55E-09,0.1612576,0.081,0.152,5.69E-05,0.213226357,0.237579945,-0.671159114,-0.624190222
APC,6.72E-16,0.160308765,0.132,0.252,2.46E-11,0.468150079,0.522307127,-0.329614899,-0.282074048
LINC02246,5.40E-10,0.160217519,0.025,0.075,1.97E-05,0.092489708,0.102490251,-1.033906592,-0.989317445
UBN1,4.14E-10,0.160074098,0.098,0.177,1.51E-05,0.259327442,0.288895204,-0.586151524,-0.539259668
MAN1B1,9.17E-08,0.1600221,0.077,0.138,0.003357165,0.201625269,0.224413877,-0.695455039,-0.648950292
CDC42EP4,8.97E-08,0.159697915,0.149,0.233,0.003284528,0.405344714,0.451928717,-0.392175487,-0.344930061
ZNF444,8.97E-13,0.159622854,0.116,0.217,3.28E-08,0.327137018,0.364547547,-0.485270309,-0.43824582
CYBC1,3.73E-08,0.159487464,0.063,0.12,0.001366883,0.154837677,0.172073796,-0.810123352,-0.76428526
THYN1,1.81E-12,0.159432641,0.141,0.249,6.63E-08,0.401682237,0.447755036,-0.396117373,-0.34895952
POLR2K,5.32E-07,0.159284472,0.202,0.299,0.019454586,0.565886101,0.631080859,-0.247270973,-0.199914992
RNF141,1.33E-09,0.15917616,0.057,0.12,4.86E-05,0.140206077,0.155698114,-0.853233163,-0.807716648
PITRM1,9.61E-08,0.159026876,0.039,0.084,0.00351859,0.105992108,0.117480862,-0.974726469,-0.930032875
MRPL23,3.20E-09,0.158851276,0.201,0.312,0.000117106,0.646779579,0.721200436,-0.189243701,-0.141944019
ZNF10,3.34E-07,0.158836802,0.086,0.146,0.012221502,0.278486549,0.310035763,-0.555195776,-0.508588206
ZNF621,2.77E-07,0.15880078,0.034,0.077,0.010134236,0.093350147,0.10334935,-1.029884992,-0.985692249
MARVELD3,3.11E-08,0.158771662,0.222,0.332,0.001138041,0.686237409,0.765208796,-0.163525611,-0.116220046
TMC4,9.78E-12,0.158545164,0.219,0.348,3.58E-07,0.704078793,0.78500239,-0.152378737,-0.105129021
NOSIP,4.41E-10,0.158219536,0.196,0.308,1.61E-05,0.589313328,0.656757202,-0.229653737,-0.182595156
RBM4,8.05E-07,0.158171493,0.274,0.389,0.029469915,0.942109023,1.050410125,-0.025898837,0.021358899
RNLS,1.21E-12,0.158135686,0.075,0.158,4.42E-08,0.236120609,0.262610911,-0.626866106,-0.580687233
TADA3,1.05E-09,0.157724304,0.12,0.207,3.83E-05,0.321253712,0.35750399,-0.493151845,-0.446719107
D2HGDH,3.55E-13,0.15767356,0.124,0.229,1.30E-08,0.393143133,0.437683091,-0.405449305,-0.358840231
EPN1,3.91E-08,0.157578994,0.207,0.311,0.001430934,0.579820743,0.645877123,-0.236706252,-0.189850098
ZHX1,1.31E-10,0.157446909,0.075,0.149,4.80E-06,0.184986091,0.205454222,-0.732860925,-0.687284931
MTREX,3.25E-13,0.157057374,0.155,0.27,1.19E-08,0.499237846,0.555792544,-0.301692499,-0.255087284
TPP2,8.20E-10,0.156968002,0.109,0.193,3.00E-05,0.334816228,0.372437576,-0.475193501,-0.428946509
RNF34,6.07E-10,0.156918826,0.129,0.219,2.22E-05,0.341414612,0.379781413,-0.466717896,-0.420466294
IWS1,5.82E-13,0.156649558,0.164,0.283,2.13E-08,0.507092058,0.564390262,-0.294913191,-0.248420488
AL365295.1,6.04E-08,0.156499384,0.082,0.144,0.002210825,0.270052663,0.3001322,-0.568551536,-0.522687408
ARHGEF12,2.14E-08,0.156272748,0.175,0.271,0.000781897,0.611598516,0.680705089,-0.213533577,-0.167041003
RBM15B,1.88E-11,0.156169554,0.047,0.113,6.88E-07,0.13871712,0.153712963,-0.857869938,-0.813289507
RFX7,4.28E-10,0.156048299,0.185,0.292,1.57E-05,0.63319349,0.704660847,-0.198463559,-0.152019858
TMEM51,5.11E-08,0.155958355,0.154,0.237,0.001870605,0.444806773,0.494723638,-0.351828608,-0.305637339
RBM4B,6.99E-10,0.155833315,0.048,0.108,2.56E-05,0.147531883,0.163497156,-0.831114115,-0.786489798
CORO1C,4.72E-10,0.155832119,0.151,0.249,1.73E-05,0.507719682,0.564769281,-0.294376001,-0.248128933
KIF9,1.43E-07,0.155702648,0.093,0.158,0.005230438,0.227224769,0.252257278,-0.643544329,-0.598156295
HDGF,2.29E-15,0.155583632,0.166,0.298,8.39E-11,0.555564925,0.617965347,-0.255265181,-0.209035878
PMS1,7.29E-11,0.155532591,0.071,0.146,2.67E-06,0.216677235,0.240479252,-0.664186715,-0.618922387
RAB3IP,2.78E-14,0.155475383,0.166,0.291,1.02E-09,0.520997298,0.579417888,-0.283164529,-0.237008101
PSMA3-AS1,6.98E-10,0.155044629,0.134,0.228,2.55E-05,0.35671327,0.396321604,-0.447680734,-0.401952253
FLAD1,9.78E-09,0.154866477,0.054,0.11,0.000357981,0.132238596,0.146360734,-0.87864177,-0.83457542
USF3,8.95E-14,0.154517047,0.09,0.183,3.27E-09,0.267518343,0.296898057,-0.572646435,-0.527392645
MCRIP1,1.07E-12,0.154478473,0.1,0.195,3.91E-08,0.334719496,0.371686269,-0.475318991,-0.429823482
GHDC,2.44E-11,0.154427213,0.03,0.088,8.94E-07,0.09695345,0.107044261,-1.013436732,-0.970436611
