Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
ALS2CL,1.16E-07,-0.772908217,0.028,0.068,0.004232456,0.107328871,0.061942341,-0.969283439,-1.208012387
TIPARP-AS1,5.95E-12,-0.773042997,0.014,0.065,2.18E-07,0.062650607,0.035791561,-1.203074719,-1.446219355
ZNF711,2.79E-17,-0.773634924,0.06,0.156,1.02E-12,0.271756775,0.158091464,-0.565819621,-0.801091578
CCDC175,1.25E-06,-0.773648175,0.026,0.062,0.045802528,0.08276921,0.047544287,-1.082131189,-1.322901661
PET117,2.57E-25,-0.773692726,0.052,0.173,9.42E-21,0.217892247,0.126578742,-0.661758222,-0.897639225
ENTR1,5.21E-11,-0.773698428,0.018,0.067,1.91E-06,0.076470675,0.043858486,-1.116505077,-1.357946368
CELF4,6.75E-17,-0.773728288,0.033,0.113,2.47E-12,0.135788782,0.078552957,-0.867136106,-1.104837462
SEPHS2,1.04E-37,-0.773953407,0.141,0.338,3.80E-33,0.70574551,0.411858507,-0.151351876,-0.385251959
KHK,1.73E-33,-0.774415532,0.105,0.28,6.35E-29,0.736099352,0.429471947,-0.133063565,-0.367065199
SNX10,1.51E-13,-0.774564934,0.024,0.086,5.54E-09,0.1013023,0.05834732,-0.994380695,-1.233979088
SRGAP2,3.16E-12,-0.774681958,0.028,0.088,1.16E-07,0.145523006,0.084190291,-0.837068342,-1.074737989
UBA5,8.91E-18,-0.775015601,0.063,0.163,3.26E-13,0.222807205,0.129334138,-0.652070769,-0.888286826
ITM2C,5.59E-32,-0.77506335,0.3,0.507,2.05E-27,2.266054036,1.323327603,0.355270262,0.121667371
EXOSC9,4.95E-13,-0.775679204,0.034,0.101,1.81E-08,0.130931698,0.075608528,-0.882955199,-1.12142922
PNPO,2.23E-14,-0.775712983,0.033,0.103,8.15E-10,0.112124795,0.064621627,-0.950298338,-1.189622114
AC004556.3,1.59E-16,-0.775872676,0.032,0.111,5.84E-12,0.140234512,0.081031442,-0.853145092,-1.091346432
VPS26B,6.01E-14,-0.776297208,0.043,0.118,2.20E-09,0.152650358,0.0882565,-0.816302174,-1.054253298
TPP1,3.24E-32,-0.776471381,0.11,0.28,1.19E-27,0.587613145,0.342173935,-0.230908498,-0.465753075
AL049828.1,1.13E-19,-0.776477988,0.04,0.134,4.15E-15,0.240801217,0.139706944,-0.618341322,-0.854782008
NOC4L,8.19E-15,-0.777957316,0.03,0.102,3.00E-10,0.118868566,0.068452723,-0.924932977,-1.164609273
NEMP1,4.75E-14,-0.777974569,0.02,0.083,1.74E-09,0.106659345,0.06133166,-0.972001088,-1.212315284
CTPS1,2.19E-08,-0.778543675,0.03,0.075,0.00080255,0.113044492,0.065029377,-0.946750595,-1.186890407
PIMREG,1.43E-07,-0.778745199,0.013,0.046,0.005221165,0.081330349,0.046534837,-1.089747366,-1.332221807
GDPD5,4.20E-08,-0.778911436,0.043,0.091,0.001537149,0.140135624,0.080801463,-0.853451447,-1.092580775
PSD3,5.92E-31,-0.779066978,0.242,0.435,2.17E-26,1.64479822,0.957625071,0.216112627,-0.018804492
CYFIP2,1.39E-11,-0.77908671,0.023,0.077,5.08E-07,0.113921814,0.06551582,-0.943393109,-1.183653816
GSTZ1,1.87E-22,-0.780436186,0.083,0.209,6.84E-18,0.299647695,0.173581634,-0.523389059,-0.760496227
FYB2,3.19E-16,-0.781141087,0.022,0.094,1.17E-11,0.116934005,0.067174156,-0.932059176,-1.172797781
MPHOSPH9,1.04E-09,-0.781405473,0.046,0.103,3.82E-05,0.158459626,0.091321281,-0.800081372,-1.039428004
LINC00574,8.00E-08,-0.781686519,0.014,0.049,0.002928989,0.045101425,0.025364398,-1.345809733,-1.595775444
NSMCE3,1.49E-09,-0.781706832,0.022,0.068,5.46E-05,0.077699783,0.044325783,-1.109580192,-1.353343585
NAT2,7.46E-16,-0.782018739,0.033,0.109,2.73E-11,0.112925297,0.064801495,-0.947208758,-1.188414973
PRLR,5.65E-40,-0.782182584,0.15,0.359,2.07E-35,0.838601216,0.486764732,-0.076444512,-0.312680896
PRR5L,7.99E-07,-0.783471663,0.052,0.096,0.029241321,0.174937774,0.10076259,-0.757116405,-0.996700676
ARRB2,2.61E-14,-0.783976672,0.053,0.133,9.56E-10,0.180781454,0.104120815,-0.742846124,-0.982462439
NFE2L2,2.73E-38,-0.784080886,0.187,0.402,1.00E-33,1.061678741,0.615669494,0.025993121,-0.210652365
TCTN1,1.45E-13,-0.784417138,0.028,0.094,5.32E-09,0.126607721,0.072636227,-0.897539808,-1.138846725
GTF2E1,4.42E-07,-0.785605732,0.018,0.051,0.016172606,0.057543628,0.032511028,-1.240002759,-1.487969294
ATP2B1,2.24E-39,-0.786060703,0.232,0.458,8.18E-35,1.460741838,0.846250819,0.164573468,-0.072500898
GADD45A,9.02E-21,-0.786705724,0.1,0.221,3.30E-16,0.474435388,0.274143643,-0.323822924,-0.56202182
FEN1,1.21E-14,-0.78724914,0.024,0.091,4.44E-10,0.13904187,0.079697,-0.856854399,-1.098558024
TXNDC15,3.69E-10,-0.787719881,0.043,0.101,1.35E-05,0.140877087,0.080733779,-0.851159636,-1.092944718
LAMP1,1.50E-33,-0.787963143,0.18,0.377,5.49E-29,0.953373992,0.5512867,-0.0207367,-0.258622485
AQP11,6.27E-22,-0.788179746,0.069,0.185,2.29E-17,0.280138344,0.161350377,-0.552627443,-0.792230016
AC012404.1,6.09E-08,-0.78849672,0.021,0.06,0.002228999,0.119864788,0.068524837,-0.92130838,-1.16415199
KIF20B,1.35E-23,-0.790348356,0.044,0.155,4.94E-19,0.285735432,0.164342964,-0.544035903,-0.784248885
OSBPL11,3.47E-14,-0.790565252,0.045,0.121,1.27E-09,0.185412688,0.106319789,-0.731860549,-0.973385895
METTL7B,4.19E-22,-0.790702647,0.08,0.201,1.53E-17,0.341901838,0.196770087,-0.466098564,-0.706040922
AC007262.2,5.29E-07,-0.791433808,0.02,0.055,0.019370849,0.075148966,0.042548244,-1.124076993,-1.371118359
NLE1,7.50E-15,-0.791767394,0.018,0.082,2.75E-10,0.084935732,0.048191393,-1.070909565,-1.317030523
RPS6KA5,1.46E-23,-0.79211705,0.117,0.256,5.36E-19,0.650663294,0.374884926,-0.186643693,-0.426102022
