"","rownames.merged.gut...RNA....counts."
"615","TRNP1"
"616","TENT5B"
"617","SLC9A1"
"618","AL590640.1"
"619","WDTC1"
"620","TMEM222"
"621","SYTL1"
"622","MAP3K6"
"623","FCN3"
"624","CD164L2"
"625","GPR3"
"626","WASF2"
"627","FO393419.2"
"628","BX293535.1"
"629","AHDC1"
"630","FGR"
"631","LINC02574"
"632","IFI6"
"633","AL445490.1"
"634","AL020997.5"
"635","FAM76A"
"636","STX12"
"637","AL020997.2"
"638","AL020997.3"
"639","AL020997.4"
"640","PPP1R8"
"641","THEMIS2"
"642","RPA2"
"643","SMPDL3B"
"644","AL512288.1"
"645","XKR8"
"646","EYA3"
"647","PTAFR"
"648","DNAJC8"
"649","ATP5IF1"
"650","AL353622.1"
"651","AL353622.2"
"652","SESN2"
"653","MED18"
"654","PHACTR4"
"655","RCC1"
"656","SNHG3"
"657","TRNAU1AP"
"658","SNHG12"
"659","TAF12"
"660","RAB42"
"661","LINC01715"
"662","AL360012.1"
"663","GMEB1"
"664","YTHDF2"
"665","OPRD1"
"666","AL009181.1"
"667","EPB41"
"668","TMEM200B"
"669","AL357500.1"
"670","SRSF4"
"671","MECR"
"672","AL590729.1"
"673","PTPRU"
"674","LINC01756"
"675","AC092265.1"
"676","AL645944.2"
"677","LINC01648"
"678","AL137076.1"
"679","AL161638.2"
"680","AL161638.1"
"681","MATN1"
"682","MATN1-AS1"
"683","AL137857.1"
"684","LAPTM5"
"685","AL137027.1"
"686","LINC01778"
"687","AL445235.1"
"688","SDC3"
"689","PUM1"
"690","NKAIN1"
"691","SNRNP40"
"692","ZCCHC17"
"693","AL451070.1"
"694","FABP3"
"695","SERINC2"
"696","LINC01226"
"697","AC114488.1"
"698","TINAGL1"
"699","HCRTR1"
"700","PEF1"
"701","AC114488.2"
"702","AC114488.3"
"703","COL16A1"
"704","ADGRB2"
"705","AL354919.2"
"706","SPOCD1"
"707","AL354919.1"
"708","AL136115.2"
"709","PTP4A2"
"710","AL136115.1"
"711","AL136115.3"
"712","KHDRBS1"
"713","AL445248.1"
"714","TMEM39B"
"715","KPNA6"
"716","AL049795.2"
"717","TXLNA"
"718","CCDC28B"
"719","AL049795.1"
"720","IQCC"
"721","DCDC2B"
"722","TMEM234"
"723","EIF3I"
"724","FAM167B"
"725","LCK"
"726","HDAC1"
"727","MARCKSL1"
"728","AL109945.1"
"729","TSSK3"
"730","FAM229A"
"731","BSDC1"
"732","ZBTB8B"
"733","ZBTB8A"
"734","ZBTB8OS"
"735","RBBP4"
"736","SYNC"
"737","AC114489.1"
"738","KIAA1522"
"739","YARS"
"740","S100PBP"
"741","FNDC5"
"742","HPCA"
"743","TMEM54"
"744","AL031602.2"
"745","RNF19B"
"746","AL020995.1"
"747","AK2"
"748","AZIN2"
"749","TRIM62"
"750","AL662907.3"
"751","ZNF362"
"752","AL513327.3"
"753","A3GALT2"
"754","AL513327.1"
"755","PHC2"
"756","AL513327.2"
"757","ZSCAN20"
"758","CSMD2"
"759","HMGB4"
"760","CSMD2-AS1"
"761","C1orf94"
"762","AC099565.1"
"763","SMIM12"
"764","GJB5"
"765","GJB4"
"766","AL121988.1"
"767","GJB3"
"768","GJA4"
"769","AL122010.1"
"770","DLGAP3"
"771","TMEM35B"
"772","ZMYM6"
"773","ZMYM1"
"774","AL590434.1"
"775","SFPQ"
"776","ZMYM4"
"777","ZMYM4-AS1"
"778","KIAA0319L"
"779","NCDN"
"780","AC004865.2"
"781","TFAP2E"
"782","PSMB2"
"783","C1orf216"
"784","CLSPN"
"785","AL354864.1"
"786","AGO4"
"787","AGO1"
"788","AL139286.3"
"789","AL139286.2"
"790","AGO3"
"791","AL138787.2"
"792","TEKT2"
"793","ADPRHL2"
"794","COL8A2"
"795","TRAPPC3"
"796","MAP7D1"
"797","THRAP3"
"798","SH3D21"
"799","EVA1B"
"800","AL591845.1"
"801","STK40"
"802","LSM10"
"803","OSCP1"
"804","MRPS15"
"805","CSF3R"
"806","AL596257.1"
"807","AC117945.2"
"808","AC117945.1"
"809","GRIK3"
"810","AL031430.1"
"811","AL353604.1"
"812","LINC01137"
"813","ZC3H12A"
"814","MEAF6"
"815","SNIP1"
"816","DNALI1"
"817","GNL2"
"818","AL513220.1"
"819","RSPO1"
"820","C1orf109"
"821","CDCA8"
"822","EPHA10"
"823","MANEAL"
"824","AL929472.3"
"825","YRDC"
"826","C1orf122"
"827","MTF1"
"828","AL929472.2"
"829","INPP5B"
"830","SF3A3"
"831","FHL3"
"832","UTP11"
"833","POU3F1"
"834","MIR3659HG"
"835","LINC02786"
"836","AL390839.1"
"837","AL390839.2"
"838","LINC01343"
"839","LINC01685"
"840","AL354702.2"
"841","RRAGC"
"842","AL139260.1"
"843","MYCBP"
"844","GJA9"
"845","RHBDL2"
"846","AKIRIN1"
"847","NDUFS5"
"848","MACF1"
"849","AL356055.1"
"850","AL442071.2"
"851","AL442071.1"
"852","BMP8A"
"853","PABPC4"
"854","PABPC4-AS1"
