"","rownames.merged.gut...RNA....counts."
"21693","COX14"
"21694","AC074032.1"
"21695","CERS5"
"21696","LIMA1"
"21697","AC008147.2"
"21698","AC008147.1"
"21699","FAM186A"
"21700","LARP4"
"21701","DIP2B"
"21702","ATF1"
"21703","TMPRSS12"
"21704","METTL7A"
"21705","AC008121.2"
"21706","HIGD1C"
"21707","AC008121.3"
"21708","SLC11A2"
"21709","LETMD1"
"21710","CSRNP2"
"21711","TFCP2"
"21712","POU6F1"
"21713","AC139768.1"
"21714","DAZAP2"
"21715","SMAGP"
"21716","BIN2"
"21717","CELA1"
"21718","GALNT6"
"21719","SLC4A8"
"21720","AC107031.1"
"21721","SCN8A"
"21722","AC068987.1"
"21723","C12orf81"
"21724","AC068987.2"
"21725","FIGNL2"
"21726","AC068987.3"
"21727","FIGNL2-DT"
"21728","ANKRD33"
"21729","ACVRL1"
"21730","ACVR1B"
"21731","GRASP"
"21732","NR4A1"
"21733","AC025259.3"
"21734","ATG101"
"21735","AC025259.1"
"21736","SMIM41"
"21737","AC078864.1"
"21738","LINC00592"
"21739","KRT80"
"21740","C12orf80"
"21741","KRT7"
"21742","KRT7-AS"
"21743","KRT86"
"21744","AC021066.1"
"21745","KRT81"
"21746","AC121757.2"
"21747","AC121757.1"
"21748","KRT83"
"21749","KRT85"
"21750","KRT84"
"21751","AC078865.1"
"21752","KRT82"
"21753","AC055736.1"
"21754","KRT75"
"21755","KRT6B"
"21756","KRT6C"
"21757","KRT6A"
"21758","KRT5"
"21759","KRT71"
"21760","KRT74"
"21761","KRT72"
"21762","KRT73-AS1"
"21763","KRT73"
"21764","KRT2"
"21765","KRT1"
"21766","KRT77"
"21767","AC055716.3"
"21768","KRT76"
"21769","KRT3"
"21770","KRT4"
"21771","KRT79"
"21772","KRT78"
"21773","KRT8"
"21774","KRT18"
"21775","EIF4B"
"21776","AC068888.2"
"21777","AC068888.1"
"21778","TNS2"
"21779","SPRYD3"
"21780","IGFBP6"
"21781","SOAT2"
"21782","CSAD"
"21783","AC073573.1"
"21784","ZNF740"
"21785","ITGB7"
"21786","RARG"
"21787","AC021072.1"
"21788","MFSD5"
"21789","ESPL1"
"21790","PFDN5"
"21791","AC073611.1"
"21792","C12orf10"
"21793","AAAS"
"21794","SP7"
"21795","SP1"
"21796","AMHR2"
"21797","PRR13"
"21798","PCBP2"
"21799","PCBP2-OT1"
"21800","MAP3K12"
"21801","AC023509.3"
"21802","TARBP2"
"21803","NPFF"
"21804","ATF7"
"21805","AC023509.2"
"21806","AC023509.6"
"21807","ATP5MC2"
"21808","CALCOCO1"
"21809","AC076968.2"
"21810","CISTR"
"21811","AC076968.1"
"21812","HOXC13-AS"
"21813","HOXC13"
"21814","HOXC12"
"21815","HOTAIR"
"21816","HOXC11"
"21817","HOXC-AS3"
"21818","HOXC10"
"21819","HOXC6"
"21820","HOXC-AS2"
"21821","HOXC9"
"21822","HOXC-AS1"
"21823","HOXC8"
"21824","HOXC4"
"21825","AC012531.1"
"21826","HOXC5"
"21827","AC023794.1"
"21828","AC023794.3"
"21829","FAM242C"
"21830","SMUG1"
"21831","LINC02381"
"21832","AC023794.6"
"21833","AC023794.5"
"21834","AC023794.2"
"21835","CBX5"
"21836","SCAT2"
"21837","AC078778.1"
"21838","HNRNPA1"
"21839","NFE2"
"21840","COPZ1"
"21841","AC079313.2"
"21842","AC079313.1"
"21843","GPR84"
"21844","ZNF385A"
"21845","ITGA5"
"21846","LINC01154"
"21847","GTSF1"
"21848","NCKAP1L"
"21849","AC068789.1"
"21850","PDE1B"
"21851","PPP1R1A"
"21852","LACRT"
"21853","DCD"
"21854","AC079310.1"
"21855","MUCL1"
"21856","TESPA1"
"21857","AC027287.2"
"21858","NEUROD4"
"21859","OR9K2"
"21860","OR10A7"
"21861","OR6C74"
"21862","OR6C6"
"21863","OR6C1"
"21864","OR6C3"
"21865","OR6C75"
"21866","OR6C65"
"21867","OR6C76"
"21868","AC122685.1"
"21869","OR6C2"
"21870","OR6C70"
"21871","OR6C68"
"21872","OR6C4"
"21873","OR2AP1"
"21874","OR10P1"
"21875","AC009779.5"
"21876","METTL7B"
"21877","ITGA7"
"21878","BLOC1S1"
"21879","RDH5"
"21880","CD63"
"21881","AC009779.2"
"21882","GDF11"
"21883","SARNP"
"21884","AC073487.1"
"21885","ORMDL2"
"21886","DNAJC14"
"21887","MMP19"
"21888","PYM1"
"21889","DGKA"
"21890","AC025162.2"
"21891","PMEL"
"21892","CDK2"
"21893","AC025162.1"
"21894","RAB5B"
"21895","SUOX"
"21896","IKZF4"
"21897","AC034102.8"
"21898","AC034102.3"
"21899","RPS26"
"21900","ERBB3"
"21901","PA2G4"
"21902","AC034102.4"
"21903","RPL41"
"21904","ESYT1"
"21905","ZC3H10"
"21906","AC034102.7"
"21907","AC034102.6"
"21908","AC034102.5"
"21909","MYL6B"
"21910","MYL6"
"21911","SMARCC2"
"21912","AC073896.4"
"21913","RNF41"
"21914","NABP2"
"21915","SLC39A5"
"21916","ANKRD52"
"21917","COQ10A"
"21918","AC073896.5"
"21919","CS"
"21920","AC073896.2"
"21921","AC073896.3"
"21922","CNPY2"
"21923","PAN2"
"21924","IL23A"
"21925","STAT2"
"21926","APOF"
"21927","AC024884.2"
"21928","TIMELESS"
"21929","MIP"
"21930","SPRYD4"
"21931","GLS2"
"21932","RBMS2"
"21933","BAZ2A"
"21934","ATP5F1B"
"21935","PTGES3"
"21936","NACA"
"21937","PRIM1"
"21938","HSD17B6"
"21939","SDR9C7"
"21940","RDH16"
"21941","AC026120.3"
"21942","GPR182"
"21943","ZBTB39"
"21944","TAC3"
"21945","MYO1A"
"21946","NEMP1"
"21947","NAB2"
"21948","STAT6"
"21949","LRP1"
"21950","LRP1-AS"
"21951","NXPH4"
"21952","AC137834.2"
"21953","SHMT2"
"21954","NDUFA4L2"
"21955","STAC3"
"21956","R3HDM2"
"21957","AC126614.1"
"21958","INHBC"
"21959","INHBE"
"21960","AC022506.2"
"21961","GLI1"
"21962","ARHGAP9"
"21963","MARS"
"21964","DDIT3"
"21965","AC022506.1"
"21966","MBD6"
"21967","DCTN2"
"21968","KIF5A"
"21969","PIP4K2C"
"21970","DTX3"
"21971","ARHGEF25"
"21972","AC025165.1"
"21973","SLC26A10"
"21974","B4GALNT1"
"21975","OS9"
"21976","AC025165.2"
"21977","AGAP2"
"21978","AGAP2-AS1"
"21979","TSPAN31"
"21980","CDK4"
"21981","MARCH9"
"21982","CYP27B1"
"21983","METTL1"
"21984","EEF1AKMT3"
"21985","TSFM"
"21986","AVIL"
"21987","AC025165.5"
"21988","AC025165.4"
"21989","CTDSP2"
"21990","AC083805.2"
"21991","AC083805.1"
"21992","AC083805.3"
"21993","ATP23"
"21994","GIHCG"
"21995","LINC02403"
"21996","AC020637.1"
"21997","LINC02388"
"21998","LRIG3"
"21999","AC068305.2"
"22000","AC046129.1"
"22001","AC108721.2"
"22002","AC108721.1"
"22003","LINC02448"
"22004","SLC16A7"
"22005","AC080011.1"
"22006","AC087883.2"
"22007","AC090629.1"
"22008","TAFA2"
"22009","AC078789.1"
"22010","USP15"
"22011","MON2"
"22012","AC079035.1"
"22013","LINC01465"
"22014","AC048341.1"
"22015","AC048341.2"
"22016","PPM1H"
"22017","AC078814.1"
"22018","AVPR1A"
"22019","AC026116.1"
"22020","DPY19L2"
"22021","AC084357.2"
"22022","RXYLT1"
"22023","RXYLT1-AS1"
"22024","SRGAP1"
"22025","AC079866.2"
"22026","AC020611.2"
"22027","AC025576.3"
"22028","AC025576.2"
"22029","AC025576.1"
"22030","C12orf66"
"22031","C12orf56"
"22032","XPOT"
"22033","AC135279.4"
"22034","TBK1"
"22035","RASSF3"
"22036","AC078962.2"
"22037","AC078962.4"
"22038","AC078962.1"
"22039","AC078962.3"
"22040","GNS"
"22041","AC025262.1"
"22042","TBC1D30"
"22043","AC025262.4"
"22044","LINC02389"
"22045","LINC02231"
"22046","AC135895.1"
"22047","WIF1"
"22048","LEMD3"
"22049","AC026124.2"
"22050","MSRB3"
"22051","AC026124.1"
"22052","AC025419.1"
"22053","AC090023.1"
"22054","LINC02454"
"22055","AC090023.2"
"22056","HMGA2"
"22057","AC107308.1"
"22058","HMGA2-AS1"
"22059","AC090673.1"
"22060","LINC02425"
"22061","LLPH"
"22062","LLPH-DT"
"22063","TMBIM4"
"22064","IRAK3"
"22065","AC078889.1"
"22066","HELB"
"22067","GRIP1"
"22068","AC073530.1"
"22069","CAND1"
"22070","AC078983.1"
"22071","LINC02420"
"22072","LINC02408"
"22073","LINC02442"
"22074","DYRK2"
"22075","AC078777.1"
"22076","LINC02421"
"22077","LINC01479"
"22078","IFNG-AS1"
"22079","IFNG"
"22080","IL26"
"22081","IL22"
"22082","MDM1"
"22083","LINC02384"
"22084","AC022511.1"
"22085","AC008033.3"
"22086","RAP1B"
"22087","AC090061.1"
"22088","NUP107"
"22089","SLC35E3"
"22090","MDM2"
"22091","AC025423.1"
"22092","AC025423.4"
"22093","CPM"
"22094","AC127894.1"
"22095","CPSF6"
"22096","AC020656.2"
"22097","LYZ"
"22098","AC020656.1"
"22099","YEATS4"
"22100","LINC02373"
"22101","FRS2"
"22102","CCT2"
"22103","LRRC10"
"22104","BEST3"
"22105","AC025263.1"
"22106","RAB3IP"
"22107","MYRFL"
"22108","AC025159.1"
"22109","AC078922.1"
"22110","LINC02821"
"22111","LINC01481"
"22112","AC092881.2"
"22113","CNOT2"
"22114","KCNMB4"
"22115","AC025569.1"
"22116","PTPRB"
"22117","AC083809.1"
"22118","PTPRR"
"22119","AC123905.1"
"22120","AC025575.1"
"22121","AC025575.2"
"22122","TSPAN8"
"22123","LGR5"
"22124","AC090116.1"
"22125","AC078860.2"
"22126","ZFC3H1"
"22127","THAP2"
"22128","TMEM19"
"22129","AC011601.1"
"22130","RAB21"
"22131","AC089984.1"
"22132","TBC1D15"
"22133","TPH2"
"22134","AC090109.1"
"22135","TRHDE"
"22136","TRHDE-AS1"
"22137","AC133480.1"
"22138","AC090503.2"
"22139","LINC02444"
"22140","AC090503.1"
"22141","LINC02445"
"22142","AC090015.1"
"22143","AC136188.1"
"22144","LINC02394"
"22145","AC090502.2"
"22146","ATXN7L3B"
"22147","AC025257.1"
"22148","AC073525.1"
"22149","KCNC2"
"22150","AC091534.1"
"22151","CAPS2"
"22152","AC121761.2"
"22153","GLIPR1L1"
"22154","GLIPR1L2"
"22155","GLIPR1"
"22156","AC121761.1"
"22157","KRR1"
"22158","AC078923.1"
"22159","AC078820.2"
"22160","AC078820.1"
"22161","AC011611.2"
"22162","PHLDA1"
"22163","AC011611.3"
"22164","AC011611.4"
"22165","NAP1L1"
"22166","LNCOG"
"22167","BBS10"
"22168","OSBPL8"
"22169","AC107032.2"
"22170","AC107032.3"
"22171","ZDHHC17"
"22172","CSRP2"
"22173","AC124784.1"
"22174","E2F7"
"22175","AC079030.1"
"22176","LINC02464"
"22177","NAV3"
"22178","AC073591.1"
"22179","AC138331.1"
"22180","AC073571.1"
"22181","LINC02424"
"22182","AC128707.1"
"22183","AC130415.1"
"22184","AC079362.1"
"22185","AC068993.2"
"22186","SYT1"
"22187","AC090709.1"
"22188","AC027288.3"
"22189","AC027288.1"
"22190","PAWR"
"22191","AC073569.2"
"22192","PPP1R12A"
"22193","AC073569.3"
"22194","AC073569.1"
"22195","PPP1R12A-AS1"
"22196","OTOGL"
"22197","PTPRQ"
"22198","AC074031.1"
"22199","MYF6"
"22200","MYF5"
"22201","LINC01490"
"22202","LIN7A"
"22203","ACSS3"
"22204","AC078955.1"
"22205","PPFIA2"
"22206","PPFIA2-AS1"
"22207","AC069228.1"
"22208","LINC02426"
"22209","CCDC59"
"22210","METTL25"
"22211","AC089998.4"
"22212","AC089998.2"
"22213","AC089998.1"
"22214","AC091214.1"
"22215","TMTC2"
"22216","AC090680.1"
"22217","AC093025.1"
"22218","AC090679.3"
"22219","AC090679.2"
"22220","SLC6A15"
"22221","TSPAN19"
"22222","LRRIQ1"
"22223","ALX1"
"22224","LINC02820"
"22225","RASSF9"
"22226","NTS"
"22227","MGAT4C"
"22228","AC016993.1"
"22229","AC010196.1"
"22230","LINC02258"
"22231","AC079598.1"
"22232","C12orf50"
"22233","C12orf29"
"22234","CEP290"
"22235","TMTC3"
"22236","KITLG"
"22237","AC024941.2"
"22238","AC024941.1"
"22239","LINC02458"
"22240","DUSP6"
"22241","AC024909.1"
"22242","AC010201.3"
"22243","AC010201.2"
"22244","AC010201.1"
"22245","POC1B"
"22246","GALNT4"
"22247","POC1B-AS1"
"22248","AC025034.1"
"22249","ATP2B1"
"22250","ATP2B1-AS1"
"22251","AC009522.1"
"22252","LINC02399"
"22253","AC126178.1"
"22254","LINC02392"
"22255","LINC02822"
"22256","AC084365.1"
"22257","AC112481.2"
"22258","AC112481.1"
"22259","CCER1"
"22260","LINC00615"
"22261","EPYC"
"22262","KERA"
"22263","LUM"
"22264","DCN"
"22265","LINC02823"
"22266","AC090016.1"
"22267","AC126175.2"
"22268","AC025254.1"
"22269","LINC02404"
"22270","AC090049.1"
"22271","LINC01619"
"22272","AC123512.1"
"22273","AC025164.2"
"22274","BTG1"
"22275","AC025164.1"
"22276","LINC02391"
"22277","CLLU1OS"
"22278","CLLU1"
"22279","LINC02397"
"22280","C12orf74"
"22281","EEA1"
"22282","LINC02413"
"22283","AC138123.1"
"22284","AC138123.2"
"22285","LINC02412"
"22286","AC124947.1"
"22287","NUDT4"
"22288","UBE2N"
"22289","MRPL42"
"22290","SOCS2-AS1"
"22291","SOCS2"
"22292","CRADD"
"22293","AC012085.2"
"22294","AC012464.2"
"22295","AC012464.1"
"22296","AC012464.3"
"22297","PLXNC1"
"22298","AC123567.2"
"22299","AC073655.3"
"22300","AC073655.1"
"22301","AC073655.2"
"22302","CEP83"
"22303","CEP83-DT"
"22304","AC023161.1"
"22305","TMCC3"
"22306","NDUFA12"
"22307","NR2C1"
"22308","FGD6"
"22309","VEZT"
"22310","AC084879.2"
"22311","METAP2"
"22312","USP44"
"22313","NTN4"
"22314","AC090001.1"
"22315","LINC02410"
"22316","SNRPF"
"22317","CCDC38"
"22318","AMDHD1"
"22319","HAL"
"22320","AC007298.2"
"22321","LTA4H"
"22322","AC007298.1"
"22323","LINC02452"
"22324","ELK3"
"22325","AC008149.1"
"22326","AC008149.2"
"22327","CDK17"
"22328","AC007513.1"
"22329","CFAP54"
"22330","NEDD1"
"22331","AC007656.2"
"22332","AC007656.1"
"22333","AC007656.4"
"22334","LINC02409"
"22335","RMST"
"22336","AC016152.1"
"22337","AC008055.2"
"22338","LINC02453"
"22339","TMPO-AS1"
"22340","TMPO"
"22341","SLC25A3"
"22342","IKBIP"
"22343","APAF1"
"22344","ANKS1B"
"22345","AC069437.1"
"22346","AC117377.1"
"22347","FAM71C"
"22348","AC078916.1"
"22349","UHRF1BP1L"
"22350","AC010203.2"
"22351","ACTR6"
"22352","DEPDC4"
"22353","SCYL2"
"22354","SLC17A8"
"22355","NR1H4"
"22356","GAS2L3"
"22357","ANO4"
"22358","AC138360.1"
"22359","AC063947.1"
"22360","SLC5A8"
"22361","UTP20"
"22362","ARL1"
"22363","AC063948.1"
"22364","SPIC"
"22365","MYBPC1"
"22366","AC117505.1"
"22367","AC010205.1"
"22368","CHPT1"
"22369","SYCP3"
"22370","GNPTAB"
"22371","DRAM1"
"22372","AC084398.2"
"22373","AC079907.2"
"22374","WASHC3"
"22375","AC079907.1"
"22376","NUP37"
"22377","PARPBP"
"22378","PMCH"
"22379","HELLPAR"
"22380","LINC02456"
"22381","IGF1"
"22382","LINC00485"
"22383","PAH"
"22384","AC026108.1"
"22385","ASCL1"
"22386","AC026108.2"
"22387","AC068643.1"
"22388","AC068643.2"
"22389","C12orf42"
"22390","AC084364.3"
"22391","LINC02401"
"22392","STAB2"
"22393","AC025265.2"
"22394","AC025265.3"
"22395","AC025265.1"
"22396","NT5DC3"
"22397","AC012555.2"
"22398","AC012555.1"
"22399","HSP90B1"
"22400","C12orf73"
"22401","TDG"
"22402","GLT8D2"
"22403","HCFC2"
"22404","NFYB"
"22405","LINC02385"
"22406","AC089983.2"
"22407","TXNRD1"
"22408","AC089983.1"
"22409","EID3"
"22410","CHST11"
"22411","SLC41A2"
"22412","AC089985.1"
"22413","C12orf45"
"22414","ALDH1L2"
"22415","WASHC4"
"22416","APPL2"
"22417","C12orf75"
"22418","AC078874.1"
"22419","AC011313.1"
"22420","AC079851.1"
"22421","CASC18"
"22422","AC011595.2"
"22423","NUAK1"
"22424","AC011595.1"
"22425","CKAP4"
"22426","AC079174.1"
"22427","AC079174.2"
"22428","TCP11L2"
"22429","POLR3B"
"22430","AC079385.1"
"22431","RFX4"
"22432","AC079385.2"
"22433","AC079385.3"
"22434","RIC8B"
"22435","AC007695.1"
"22436","AC007541.1"
"22437","TMEM263"
"22438","MTERF2"
"22439","CRY1"
"22440","AC078929.1"
"22441","AC007649.1"
"22442","BTBD11"
"22443","AC007540.1"
"22444","PWP1"
"22445","PRDM4"
"22446","AC007622.2"
"22447","ASCL4"
"22448","AC126177.3"
"22449","WSCD2"
"22450","CMKLR1"
"22451","LINC01498"
"22452","FICD"
"22453","SART3"
"22454","AC008119.1"
"22455","ISCU"
"22456","TMEM119"
"22457","SELPLG"
"22458","AC007569.1"
"22459","CORO1C"
"22460","SSH1"
"22461","AC087893.2"
"22462","DAO"
"22463","SVOP"
"22464","USP30"
"22465","USP30-AS1"
"22466","ALKBH2"
"22467","UNG"
"22468","AC007637.1"
"22469","ACACB"
"22470","FOXN4"
"22471","MYO1H"
"22472","LINC01486"
"22473","AC007570.1"
"22474","KCTD10"
"22475","UBE3B"
"22476","MMAB"
"22477","MVK"
"22478","FAM222A"
"22479","FAM222A-AS1"
"22480","TRPV4"
"22481","GLTP"
"22482","AC007834.1"
"22483","TCHP"
"22484","GIT2"
"22485","AC084876.1"
"22486","ANKRD13A"
"22487","C12orf76"
"22488","AC007546.1"
"22489","IFT81"
"22490","ATP2A2"
"22491","ANAPC7"
"22492","ARPC3"
"22493","GPN3"
"22494","FAM216A"
"22495","VPS29"
"22496","RAD9B"
"22497","PPTC7"
"22498","TCTN1"
"22499","HVCN1"
"22500","PPP1CC"
"22501","AC002375.1"
"22502","CCDC63"
"22503","MYL2"
"22504","LINC01405"
"22505","AC002351.1"
"22506","CUX2"
"22507","PHETA1"
"22508","LINC02356"
"22509","SH2B3"
"22510","ATXN2"
"22511","ATXN2-AS"
"22512","BRAP"
"22513","ACAD10"
"22514","ALDH2"
"22515","MAPKAPK5-AS1"
"22516","MAPKAPK5"
"22517","TMEM116"
"22518","ERP29"
"22519","AC073575.2"
"22520","NAA25"
"22521","AC073575.1"
"22522","TRAFD1"
"22523","HECTD4"
"22524","AC004217.1"
"22525","RPL6"
"22526","PTPN11"
"22527","RPH3A"
"22528","OAS1"
"22529","AC004551.1"
"22530","OAS3"
"22531","OAS2"
"22532","DTX1"
"22533","RASAL1"
"22534","CFAP73"
"22535","DDX54"
"22536","RITA1"
"22537","AC089999.1"
"22538","IQCD"
"22539","TPCN1"
"22540","AC089999.2"
"22541","SLC8B1"
"22542","PLBD2"
"22543","SDS"
"22544","SDSL"
"22545","LHX5"
"22546","LHX5-AS1"
"22547","LINC01234"
"22548","RBM19"
"22549","AC009731.1"
"22550","AC073863.1"
"22551","AC010183.1"
"22552","AC010183.2"
"22553","LINC02459"
"22554","TBX5"
"22555","TBX5-AS1"
"22556","AC010177.1"
"22557","TBX3"
"22558","AC026765.3"
"22559","AC026765.4"
"22560","AC026765.2"
"22561","AC009804.2"
"22562","AC008125.1"
"22563","AC078880.1"
"22564","AC078880.3"
"22565","AC078880.4"
"22566","AC078880.5"
"22567","AC078880.2"
"22568","AC009803.2"
"22569","AC009803.1"
"22570","AC009387.1"
"22571","LINC02463"
"22572","AC012157.3"
"22573","MED13L"
"22574","AC012157.2"
"22575","AC130895.1"
"22576","AC079384.2"
"22577","AC079384.1"
"22578","LINC02457"
"22579","LINC00173"
"22580","MAP1LC3B2"
"22581","AC125603.4"
"22582","AC125603.3"
"22583","AC125603.2"
"22584","AC125603.1"
"22585","C12orf49"
"22586","RNFT2"
"22587","AC083806.3"
"22588","HRK"
"22589","FBXW8"
"22590","AC083806.2"
"22591","AC127164.1"
"22592","AC026368.1"
"22593","TESC"
"22594","TESC-AS1"
"22595","FBXO21"
"22596","NOS1"
"22597","AC073864.1"
"22598","KSR2"
"22599","AC084291.1"
"22600","RFC5"
"22601","AC131159.2"
"22602","WSB2"
"22603","AC131159.1"
"22604","VSIG10"
"22605","AC131238.1"
"22606","PEBP1"
"22607","TAOK3"
"22608","AC026367.1"
"22609","SUDS3"
"22610","AC026367.3"
"22611","AC026367.2"
"22612","LINC02460"
"22613","LINC02423"
"22614","LINC02440"
"22615","LINC02439"
"22616","AC087863.2"
"22617","SRRM4"
"22618","AC087885.1"
"22619","AC084361.1"
"22620","AC084880.4"
"22621","HSPB8"
"22622","AC084880.3"
"22623","AC084880.2"
"22624","LINC00934"
"22625","CCDC60"
"22626","AC002070.1"
"22627","TMEM233"
"22628","PRKAB1"
"22629","CIT"
"22630","AC002563.1"
"22631","BICDL1"
"22632","RAB35"
"22633","AC004812.2"
"22634","GCN1"
"22635","RPLP0"
"22636","PXN-AS1"
"22637","PXN"
"22638","AC004263.2"
"22639","AC004263.1"
"22640","SIRT4"
"22641","PLA2G1B"
"22642","MSI1"
"22643","AC003982.1"
"22644","COX6A1"
"22645","TRIAP1"
"22646","GATC"
"22647","SRSF9"
"22648","DYNLL1"
"22649","NRAV"
"22650","AC063943.1"
"22651","COQ5"
"22652","RNF10"
"22653","POP5"
"22654","AC125616.1"
"22655","CABP1"
"22656","MLEC"
"22657","AC069234.2"
"22658","AC069234.5"
"22659","AC069234.4"
"22660","UNC119B"
"22661","AC069234.3"
"22662","ACADS"
"22663","AC069234.1"
"22664","SPPL3"
"22665","AC069214.1"
"22666","HNF1A-AS1"
"22667","HNF1A"
"22668","C12orf43"
"22669","OASL"
"22670","P2RX7"
"22671","AC069209.2"
"22672","AC069209.1"
"22673","P2RX4"
"22674","CAMKK2"
"22675","ANAPC5"
"22676","AC048337.1"
"22677","RNF34"
"22678","KDM2B"
"22679","KDM2B-DT"
"22680","ORAI1"
"22681","MORN3"
"22682","AC084018.4"
"22683","TMEM120B"
"22684","RHOF"
"22685","LINC01089"
"22686","AC084018.1"
"22687","AC084018.2"
"22688","SETD1B"
"22689","HPD"
"22690","AC079360.1"
"22691","AC069503.3"
"22692","AC069503.4"
"22693","PSMD9"
"22694","WDR66"
"22695","AC069503.1"
"22696","BCL7A"
"22697","AC156455.1"
"22698","MLXIP"
"22699","LRRC43"
"22700","IL31"
"22701","B3GNT4"
"22702","AC048338.2"
"22703","DIABLO"
"22704","VPS33A"
"22705","CLIP1"
"22706","CLIP1-AS1"
"22707","ZCCHC8"
"22708","AC127002.2"
"22709","RSRC2"
"22710","KNTC1"
"22711","AC026333.4"
"22712","AC026333.3"
"22713","HCAR2"
"22714","HCAR3"
"22715","HCAR1"
"22716","DENR"
"22717","CCDC62"
"22718","HIP1R"
"22719","VPS37B"
"22720","AC027290.1"
"22721","ABCB9"
"22722","OGFOD2"
"22723","ARL6IP4"
"22724","PITPNM2"
"22725","PITPNM2-AS1"
"22726","MPHOSPH9"
"22727","C12orf65"
"22728","CDK2AP1"
"22729","AC068768.1"
"22730","SBNO1"
"22731","SBNO1-AS1"
"22732","KMT5A"
"22733","RILPL2"
"22734","SNRNP35"
"22735","RILPL1"
"22736","AC145423.2"
"22737","AC145423.3"
"22738","TMED2-DT"
"22739","TMED2"
"22740","DDX55"
"22741","EIF2B1"
"22742","GTF2H3"
"22743","TCTN2"
"22744","AC117503.1"
"22745","ATP6V0A2"
"22746","AC117503.5"
"22747","DNAH10"
"22748","CCDC92"
"22749","DNAH10OS"
"22750","AC068790.7"
"22751","AC068790.4"
"22752","AC068790.3"
"22753","AC068790.2"
"22754","AC068790.5"
"22755","AC068790.6"
"22756","ZNF664"
"22757","RFLNA"
"22758","AC068790.9"
"22759","AC026358.1"
"22760","NCOR2"
"22761","AC073592.1"
"22762","SCARB1"
"22763","AC073593.2"
"22764","UBC"
"22765","DHX37"
"22766","BRI3BP"
"22767","THRIL"
"22768","AACS"
"22769","AC122688.2"
"22770","AC122688.5"
"22771","TMEM132B"
"22772","AC005252.4"
"22773","LINC00939"
"22774","LINC02826"
"22775","LINC02359"
"22776","AC005888.1"
"22777","AC007368.1"
"22778","LINC02825"
"22779","LINC02347"
"22780","AC006065.4"
"22781","AC006065.3"
"22782","LINC02824"
"22783","LINC00943"
"22784","LINC00944"
"22785","LINC02372"
"22786","AC078878.2"
"22787","LINC02405"
"22788","AC079949.3"
"22789","AC079949.1"
"22790","AC079949.5"
"22791","AC079949.2"
"22792","AC079949.6"
"22793","LINC02376"
"22794","LINC02375"
"22795","AC068787.4"
"22796","AC068787.3"
"22797","AC068787.2"
"22798","AC068787.5"
"22799","AC025252.1"
"22800","LINC02411"
"22801","AC025160.1"
"22802","LINC02393"
"22803","LINC00507"
"22804","LINC00508"
"22805","LINC02441"
"22806","AC140121.1"
"22807","LINC02369"
"22808","LINC02368"
"22809","AC061709.2"
"22810","TMEM132C"
"22811","AC023595.1"
"22812","SLC15A4"
"22813","AC108704.1"
"22814","GLT1D1"
"22815","TMEM132D"
"22816","TMEM132D-AS1"
"22817","TMEM132D-AS2"
"22818","AC130404.1"
"22819","AC130404.2"
"22820","AC117373.1"
"22821","AC117373.2"
"22822","AC055717.1"
"22823","AC055717.2"
"22824","LINC02418"
"22825","AC135388.1"
"22826","LINC02419"
"22827","AC026336.3"
"22828","FZD10-AS1"
"22829","FZD10"
"22830","AC026336.2"
"22831","PIWIL1"
"22832","RIMBP2"
"22833","AC063926.1"
"22834","AC095350.1"
"22835","STX2"
"22836","AC073912.1"
"22837","AC073912.2"
"22838","RAN"
"22839","ADGRD1"
"22840","AC073862.1"
"22841","ADGRD1-AS1"
"22842","AC078925.1"
"22843","LINC01257"
"22844","LINC02415"
"22845","AC092850.2"
"22846","LINC02370"
"22847","AC140118.2"
"22848","AC140118.1"
"22849","AC073578.2"
"22850","AC073578.5"
"22851","AC073578.1"
"22852","AC117500.3"
"22853","LINC02414"
"22854","AC117500.6"
"22855","AC117500.1"
"22856","SFSWAP"
"22857","AC117500.2"
"22858","MMP17"
"22859","AC131009.2"
"22860","ULK1"
"22861","AC131009.1"
"22862","PUS1"
"22863","AC131009.3"
"22864","EP400"
"22865","AC137590.1"
"22866","AC137590.2"
"22867","DDX51"
"22868","NOC4L"
"22869","AC138466.3"
"22870","LINC02361"
"22871","AC138466.1"
"22872","GALNT9"
"22873","AC148477.3"
"22874","AC148477.2"
"22875","AC148477.4"
"22876","AC148477.1"
"22877","AC148477.10"
"22878","AC148476.1"
"22879","AC079031.1"
"22880","AC079031.2"
"22881","FBRSL1"
"22882","AC131212.1"
"22883","LRCOL1"
"22884","P2RX2"
"22885","POLE"
"22886","PXMP2"
"22887","PGAM5"
"22888","ANKLE2"
"22889","GOLGA3"
"22890","CHFR"
"22891","AC127070.1"
"22892","AC127070.2"
"22893","ZNF605"
"22894","ZNF26"
"22895","ZNF84-DT"
"22896","ZNF84"
"22897","ZNF140"
"22898","ZNF891"
"22899","AC026786.2"
"22900","ZNF10"
"22901","ZNF268"
"22902","ANHX"
"22903","FAM230C"
"22904","LINC00349"
"22905","LINC00388"
"22906","LINC00387"
"22907","LINC00408"
"22908","AL355516.1"
"22909","LINC00442"
"22910","AL137001.1"
"22911","AL137001.2"
"22912","TUBA3C"
"22913","AL139327.2"
"22914","LINC00421"
"22915","AL356259.1"
"22916","TPTE2"
"22917","LINC00350"
"22918","MPHOSPH8"
